Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
10Pearls,Karachi,Remote,careers@10pearls.com,known company contact,"info@10pearls.com, sahar.afzal@10pearls.com",10pearls.com,https://10pearls.applytojob.com/apply/aNEYRjfKar/Backend-PythonDjango,Backend Python/Django
Abhi,Karachi,Karachi,careers@abhi.com.pk,guessed pattern (verify before sending),hr@abhi.com.pk,abhi.com.pk,https://abhi.com.pk/careers,
Afiniti,Karachi,Karachi / global,careers@afiniti.com,guessed pattern (verify before sending),hr@afiniti.com,afiniti.com,https://afiniti.com/careers,
Arpatech,Karachi,Karachi,careers@arpatech.com,company website,"hr@arpatech.com, info@arpatech.com",arpatech.com,https://arpatech.com/careers,
Avanza Solutions,Karachi,Karachi,careers@avanzasolutions.com,guessed pattern (verify before sending),hr@avanzasolutions.com,avanzasolutions.com,https://avanzasolutions.com/careers,
Bank Alfalah,Karachi,Karachi,careers@bankalfalah.com,company website,"hr@bankalfalah.com, contactus@bankalfalah.com, atif.sarwar@bankalfalah.com, karim.najmuddin@bankalfalah.com, atmsettlementunit@bankalfalah.com, syed.fahim@bankalfalah.com, atmcapturedcardscfg@bankalfalah.com, rana.qaiser@bankalfalah.com, farhat.yasmeen@bankalfalah.com, fahad.rayaz@bankalfalah.com",bankalfalah.com,https://bankalfalah.com/careers,
Bazaar Technologies,Karachi,Karachi,careers@bazaartech.com,guessed pattern (verify before sending),hr@bazaartech.com,bazaartech.com,https://bazaartech.com/careers,
Bykea,Karachi,Karachi,careers@bykea.com,guessed pattern (verify before sending),hr@bykea.com,bykea.com,https://bykea.com/careers,
Careem,Karachi,"Amman, Jordan; Islamabad, Pakistan; Karachi, Pakistan; Lahore, Pakistan",careers@careem.com,known company contact,,careem.com,https://boards.greenhouse.io/careem/jobs/8620291002?gh_jid=8620291002,Senior Software Engineer I - Backend
Contour Software,Karachi,Karachi,careers@contour-software.com,company website,"hr@contour-software.com, info@contour-software.com",contour-software.com,https://contour-software.com/careers,
Creative Chaos,Karachi,Karachi,careers@creativechaos.co,guessed pattern (verify before sending),hr@creativechaos.co,creativechaos.co,https://creativechaos.co/careers,
Cubix,Karachi,Karachi,hr@cubixlabs.com,known company contact,info@cubix.co,cubix.co,https://cubix.co/careers,
CureMD,Karachi,Karachi,careers@curemd.com,company website,"hr@curemd.com, nathan.bradshaw@curemd.com",curemd.com,https://curemd.com/careers,
Cybernet,Karachi,Karachi,careers@cyber.net.pk,guessed pattern (verify before sending),hr@cyber.net.pk,cyber.net.pk,https://cyber.net.pk/careers,
Daraz,Karachi,Karachi,careers@daraz.pk,guessed pattern (verify before sending),hr@daraz.pk,daraz.pk,https://daraz.pk/careers,
Dawaai,Karachi,Karachi,careers@dawaai.pk,company website,"hr@dawaai.pk, pharmacy@dawaai.pk",dawaai.pk,https://dawaai.pk/careers,
Dubizzle Pakistan / OLX,Karachi,Karachi,careers@olx.com.pk,guessed pattern (verify before sending),hr@olx.com.pk,olx.com.pk,https://olx.com.pk/careers,
Engro,Karachi,Karachi,careers@engro.com,guessed pattern (verify before sending),hr@engro.com,engro.com,https://engro.com/careers,
Faysal Bank,Karachi,Karachi,careers@faysalbank.com,guessed pattern (verify before sending),hr@faysalbank.com,faysalbank.com,https://faysalbank.com/careers,
Folio3,Karachi,Karachi,careers@folio3.com,guessed pattern (verify before sending),hr@folio3.com,folio3.com,https://folio3.com/careers,
Foodpanda Pakistan,Karachi,Karachi,careers@foodpanda.pk,guessed pattern (verify before sending),hr@foodpanda.pk,foodpanda.pk,https://foodpanda.pk/careers,
Gaditek,Karachi,Karachi,careers@gaditek.com,guessed pattern (verify before sending),hr@gaditek.com,gaditek.com,https://gaditek.com/careers,
Genetech Solutions,Karachi,Karachi,careers@genetechsolutions.com,guessed pattern (verify before sending),hr@genetechsolutions.com,genetechsolutions.com,https://genetechsolutions.com/careers,
Haball,Karachi,Karachi,careers@haball.pk,company website,"hr@haball.pk, info@haball.pk",haball.pk,https://haball.pk/careers,
HBL,Karachi,Karachi,careers@hbl.com,company website,"hr@hbl.com, customer.care@hbl.com, roshan.complaints@hbl.com, ebanc.roshanaccount@hbl.com, qazi.sibghatullah@hbl.com, fasih.rehman1@hbl.com, customer.complaints@hbl.com",hbl.com,https://hbl.com/careers,
Homeshopping,Karachi,Karachi,careers@homeshopping.pk,company website,hr@homeshopping.pk,homeshopping.pk,https://homeshopping.pk/careers,
i2c,Karachi,Karachi,careers@i2cinc.com,company website,"hr@i2cinc.com, connect@i2cinc.com",i2cinc.com,https://i2cinc.com/careers,
Ibex,Karachi,Karachi,careers@ibex.co,guessed pattern (verify before sending),hr@ibex.co,ibex.co,https://ibex.co/careers,
Inbox Business Technologies,Karachi,Karachi,careers@inboxbiz.com,guessed pattern (verify before sending),hr@inboxbiz.com,inboxbiz.com,https://inboxbiz.com/careers,
Jazz,Karachi,Karachi,careers@jazz.com.pk,guessed pattern (verify before sending),hr@jazz.com.pk,jazz.com.pk,https://jazz.com.pk/careers,
KalSoft,Karachi,Karachi,careers@kalsoft.com,guessed pattern (verify before sending),hr@kalsoft.com,kalsoft.com,https://kalsoft.com/careers,
Keenu,Karachi,Karachi,careers@keenu.pk,company website,"hr@keenu.pk, help@keenu.pk, customercare@keenu.pk",keenu.pk,https://keenu.pk/careers,
KoderLabs,Karachi,Karachi,careers@koderlabs.com,company website,"hr@koderlabs.com, contact@koderlabs.com",koderlabs.com,https://koderlabs.com/careers,
M&P,Karachi,Karachi,careers@mulphilog.com,company website,"hr@mulphilog.com, contact@mulphilog.com, info@mulphilog.com",mulphilog.com,https://mulphilog.com/careers,
Meezan Bank,Karachi,Karachi,careers@meezanbank.com,company website,"hr@meezanbank.com, complaints@meezanbank.com, faiza.sajjad@meezanbank.com",meezanbank.com,https://meezanbank.com/careers,
Mindstorm Studios,Karachi,Karachi,careers@mindstormstudios.com,guessed pattern (verify before sending),hr@mindstormstudios.com,mindstormstudios.com,https://mindstormstudios.com/careers,
Motive,Karachi,Karachi / remote,careers@gomotive.com,known company contact,info@gomotive.com,gomotive.com,https://gomotive.com/careers,
Mustakbil,Karachi,Karachi,careers@mustakbil.com,company website,hr@mustakbil.com,mustakbil.com,https://mustakbil.com/careers,
NayaPay,Karachi,Karachi,careers@nayapay.com,company website,hr@nayapay.com,nayapay.com,https://nayapay.com/careers,
NorthBay Solutions,Karachi,Karachi,careers@northbaysolutions.com,company website,"hr@northbaysolutions.com, info@northbaysolutions.com",northbaysolutions.com,https://northbaysolutions.com/careers,
Ovex Technologies,Karachi,Karachi,careers@ovextech.com,company website,"hr@ovextech.com, info@ovextech.com",ovextech.com,https://ovextech.com/careers,
PakWheels,Karachi,Karachi,careers@pakwheels.com,guessed pattern (verify before sending),hr@pakwheels.com,pakwheels.com,https://pakwheels.com/careers,
Retailo,Karachi,Karachi,careers@retailo.co,company website,"hr@retailo.co, ideas@retailo.co, info@retailo.co",retailo.co,https://retailo.co/careers,
Rozee,Karachi,Karachi,careers@rozee.pk,guessed pattern (verify before sending),hr@rozee.pk,rozee.pk,https://rozee.pk/careers,
SadaPay,Karachi,Pakistan,careers@sadapay.pk,known company contact,hello@sadapay.pk,sadapay.pk,https://sadapay.pk/jobs-listing/full-stack-product-engineer,Full Stack Product Engineer Apply 100% remote Full-time Part-time Karachi (preferred) | Remote (considered) Apply
Salsoft Technologies,Karachi,Karachi,careers@salsoft.net,company website,"hr@salsoft.net, info@salsoft.net, connecthr@salsoft.net",salsoft.net,https://salsoft.net/careers,
Sastaticket,Karachi,Karachi,careers@sastaticket.pk,guessed pattern (verify before sending),hr@sastaticket.pk,sastaticket.pk,https://sastaticket.pk/careers,
Securiti,Karachi,Karachi / remote,careers@securiti.ai,guessed pattern (verify before sending),hr@securiti.ai,securiti.ai,https://securiti.ai/careers,
Softech Systems,Karachi,Karachi,careers@softechsystems.com,guessed pattern (verify before sending),hr@softechsystems.com,softechsystems.com,https://softechsystems.com/careers,
Softech Worldwide,Karachi,Karachi,careers@softechworldwide.com,company website,"hr@softechworldwide.com, jhernandez@softechworldwide.com",softechworldwide.com,https://softechworldwide.com/careers,
StormFiber,Karachi,Karachi,careers@stormfiber.com,guessed pattern (verify before sending),hr@stormfiber.com,stormfiber.com,https://stormfiber.com/careers,
Strategic Systems International,Karachi,Karachi,careers@ssidecisions.com,company website,hr@ssidecisions.com,ssidecisions.com,https://ssidecisions.com/careers,
Swyft Logistics,Karachi,Karachi,careers@swyftlogistics.com,guessed pattern (verify before sending),hr@swyftlogistics.com,swyftlogistics.com,https://swyftlogistics.com/careers,
Symbios,Karachi,Karachi,careers@symbios.pk,guessed pattern (verify before sending),hr@symbios.pk,symbios.pk,https://symbios.pk/careers,
Systems Limited,Karachi,Karachi,careers@systemsltd.com,company website,"hr@systemsltd.com, investor_relations@systemsltd.com, fayez.qamar@systemsltd.com",systemsltd.com,https://systemsltd.com/careers,
TCS,Karachi,Karachi,careers@tcsexpress.com,guessed pattern (verify before sending),hr@tcsexpress.com,tcsexpress.com,https://tcsexpress.com/careers,
Techlogix,Karachi,Karachi,careers@techlogix.com,guessed pattern (verify before sending),hr@techlogix.com,techlogix.com,https://techlogix.com/careers,
Telemart,Karachi,Karachi,careers@telemart.pk,guessed pattern (verify before sending),hr@telemart.pk,telemart.pk,https://telemart.pk/careers,
Telenor Pakistan,Karachi,Karachi,careers@telenor.com.pk,guessed pattern (verify before sending),hr@telenor.com.pk,telenor.com.pk,https://telenor.com.pk/careers,
Tintash,Karachi,Karachi,careers@tintash.com,guessed pattern (verify before sending),hr@tintash.com,tintash.com,https://tintash.com/careers,
TPS Worldwide,Karachi,Karachi,careers@tpsworldwide.com,guessed pattern (verify before sending),hr@tpsworldwide.com,tpsworldwide.com,https://tpsworldwide.com/careers,
Trax,Karachi,Karachi,careers@trax.pk,guessed pattern (verify before sending),hr@trax.pk,trax.pk,https://trax.pk/careers,
TRG Pakistan,Karachi,Karachi,careers@trgpakistan.com,guessed pattern (verify before sending),hr@trgpakistan.com,trgpakistan.com,https://trgpakistan.com/careers,
TRG World,Karachi,Karachi,careers@trgworld.com,guessed pattern (verify before sending),hr@trgworld.com,trgworld.com,https://trgworld.com/careers,
Turing,Karachi,Remote / PK,careers@turing.com,known company contact,"partnerships@turing.com, bugbounty@turing.com",turing.com,https://turing.com/careers,
UBL,Karachi,Karachi,careers@ubl.com.pk,guessed pattern (verify before sending),hr@ubl.com.pk,ubl.com.pk,https://ubl.com.pk/careers,
VentureDive,Karachi,Karachi,careers@venturedive.com,known company contact,hr@venturedive.com,venturedive.com,https://venturedive.applytojob.com/apply/Kvd4hJout1/AI-Engineer-Agentic-Frameworks-LLMs,AI Engineer - Agentic Frameworks & LLMs
