Company,HR / Recruiter Email,Sample Role,Region,City,SMTP Verification,Letter,Source,Subject
Askari Bank,careers@askaribank.com,Software Engineer,Pakistan,Islamabad,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Askari Bank
BrightSpyre,careers@brightspyre.com,Software Engineer,Pakistan,Islamabad,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at BrightSpyre
Coderisti / Recur,careers@recur.com,Software Engineer,Pakistan,Lahore,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Coderisti / Recur
Confiz,careers@confiz.com,Software Engineer,Pakistan,Lahore,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Confiz
DPL,careers@dpl.com.pk,Software Engineer,Pakistan,Islamabad,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at DPL
Elixir Technologies,careers@elixirtech.com,Software Engineer,Pakistan,Islamabad,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Elixir Technologies
Empiric,careers@empiric.com,Software Engineer,Pakistan,Lahore,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Empiric
Engro,careers@engro.com,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Engro
Faysal Bank,careers@faysalbank.com,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Faysal Bank
Folio3 UAE/PK,careers@folio3.ae,Software Engineer,MENA,Dubai / Karachi,,fullstack,emails_target_regions_2026-08-12.csv,Software Engineer at Folio3 UAE/PK
Foodpanda Pakistan,careers@foodpanda.pk,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Foodpanda Pakistan
HBL,careers@hbl.com,Software Engineer,Karachi,Karachi,,fullstack,emails_verified_2026-08-11.csv,Software Engineer at HBL
Ibex,careers@ibex.co,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Ibex
Inbox Business Technologies,careers@inboxbiz.com,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Inbox Business Technologies
Jazz,careers@jazz.com.pk,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Jazz
JazzCash,careers@jazzcash.com.pk,Software Engineer,Pakistan,Islamabad,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at JazzCash
KalSoft,careers@kalsoft.com,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at KalSoft
Logicose,jobs@logicose.com,Software Engineer,Pakistan,Lahore,,fullstack,emails_verified_scraped_new_2026-08-14.csv,Software Engineer at Logicose
Meezan Bank,careers@meezanbank.com,Software Engineer,Karachi,Karachi,,fullstack,emails_verified_2026-08-11.csv,Software Engineer at Meezan Bank
Mustakbil,careers@mustakbil.com,Software Engineer,Karachi,Karachi,,fullstack,emails_verified_2026-08-11.csv,Software Engineer at Mustakbil
Nayatel,careers@nayatel.com,Software Engineer,Pakistan,Islamabad,,fullstack,emails_verified_2026-08-11.csv,Software Engineer at Nayatel
Netsol,careers@netsoltech.com,Software Engineer,Pakistan,Lahore,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Netsol
PakWheels,careers@pakwheels.com,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at PakWheels
PTCL,careers@ptcl.com.pk,Software Engineer,Pakistan,Islamabad,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at PTCL
Rozee,careers@rozee.pk,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Rozee
S&P Global Pakistan,careers@spglobal.com,Software Engineer,Pakistan,Islamabad,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at S&P Global Pakistan
Sekel Technologies,careers@sekeltech.com,Software Engineer,Pakistan,Lahore,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Sekel Technologies
Softech Systems,careers@softechsystems.com,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Softech Systems
StormFiber,careers@stormfiber.com,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at StormFiber
Swyft Logistics,careers@swyftlogistics.com,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Swyft Logistics
Symbios,careers@symbios.pk,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at Symbios
TCS,careers@tcsexpress.com,Software Engineer,Karachi,Karachi,,fullstack,emails_batch50_cover_send_2026-08-29.csv,Software Engineer at TCS
