Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,Location Clause,Letter,SMTP Verification
GoodCore,Europe,,contact@goodcore.co.uk,company website,,goodcore.co.uk,https://goodcore.co.uk,,,,cache strict-valid
NCube,Europe,,contact@ncube.com,company website,,ncube.com,https://ncube.com,,,,cache strict-valid
Altamira,Europe,,hello@altamira.ai,company website,,altamira.ai,https://altamira.ai,,,,cache strict-valid
Workwize,Europe,,hello@goworkwize.com,company website,,goworkwize.com,https://goworkwize.com,,,,cache strict-valid
Ovyo,Remote,,hello@ovyo.com,company website,,ovyo.com,https://ovyo.com,,,,cache strict-valid
Mindstorm Studios,Pakistan,,hello@mindstormstudios.com,company website,,mindstormstudios.com,https://mindstormstudios.com,,,,cache strict-valid
Inbox,Pakistan,,arabia@inboxbiz.com,company website,,inboxbiz.com,https://inboxbiz.com,,,,cache strict-valid
Sleek,Singapore,,adrien@sleek.com,company website,,sleek.com,https://sleek.com,,,,cache strict-valid
Gofore,Europe,,info@gofore.com,company website,,gofore.com,https://gofore.com,,,,cache strict-valid
Siili,Europe,,anna.eskelinen@siili.com,company website,,siili.com,https://siili.com,,,,cache strict-valid
Product Fruits,Europe,,info@productfruits.com,company website,,productfruits.com,https://productfruits.com,,,,cache strict-valid
Genetech Solutions,Pakistan,,info@genetechsolutions.com,company website,,genetechsolutions.com,https://genetechsolutions.com,,,,cache strict-valid
TPS Worldwide,Pakistan,,info@tpsworldwide.com,company website,,tpsworldwide.com,https://tpsworldwide.com,,,,cache strict-valid
Pixelated Tech,Remote,,info@pixelatedtech.com,company website,,pixelatedtech.com,https://pixelatedtech.com,,,,cache strict-valid
Innowi,Remote,,info@innowi.com,company website,,innowi.com,https://innowi.com,,,,cache strict-valid
