Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,Location Clause,Letter,SMTP Verification
JustPaid,Remote,,careers@justpaid.ai,company website,,justpaid.io,https://jsgurujobs.com/jobs,,,,"smtp.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-499a9e7630asi46532855e9.6 - gsmtp' | fake:smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b1525debsi4695"
CloudX,Remote,,join@cloudx.com,company website,,cloudx.com,https://jsgurujobs.com/jobs,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b15266bbsi4355762f8f.466 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b1508b"
UpDoc,Remote,,careers@updoc.ai,company website,,updoc.com,https://jsgurujobs.com/jobs,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b151d9d5si4745180f8f.332 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b1524e"
Mindera,Remote,,jobs@mindera.com,company website,,mindera.com,https://jsgurujobs.com/jobs,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b151f49fsi4419904f8f.394 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-499ab02af"
Wingify,Remote,,careers@wingify.com,company website,,wingify.com,https://jsgurujobs.com/jobs,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b1506968si4438061f8f.231 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b'5.7.1 This email address no longer exists.\n5.7.1\n5.7.1 For any sales related queries, please reach out to\xc2\xa0sales@vwo.com. For\n5.7.1 any other queries, reach out to\xc2\xa0support@vwo.com\n5.7.1  - gcdp ffacd0b85a97d-482b1470000si4556200f8f.45 - gsmtp'"
Praktika,Remote,,info@praktika.de,company website,,praktika.de,https://jsgurujobs.com/jobs,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b151f3c7si4630230f8f.390 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b15265"
Stedi,Remote,,info@stedi.org,company website,,stedi.org,https://jsgurujobs.com/jobs,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b74c3c02si107757f8f.20 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b1478411"
MarsBased,Remote,,hola@marsbased.com,company website,,marsbased.com,https://jsgurujobs.com/jobs,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b151e86bsi4898434f8f.352 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b1477e"
Form Health,Remote,,careers@formhealth.co,company website,,formhealth.co,https://jsgurujobs.com/jobs,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b146edb2si4421698f8f.34 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b151f21"
Nexters,Remote,,info@nexters.com,company website,,nexters.com,https://jsgurujobs.com/jobs,,,,"smtp.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b147851esi4525942f8f.128 - gsmtp' | fake:smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b1508ac5si44"
