Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
10Pearls,Karachi,Remote,careers@10pearls.com,known company contact,"info@10pearls.com, sahar.afzal@10pearls.com",10pearls.com,https://10pearls.applytojob.com/apply/aNEYRjfKar/Backend-PythonDjango,Backend Python/Django
Arpatech,Karachi,Karachi,info@arpatech.com,company website,,arpatech.com,https://arpatech.com/careers,
Bank Alfalah,Karachi,Karachi,contactus@bankalfalah.com,company website,"atif.sarwar@bankalfalah.com, karim.najmuddin@bankalfalah.com, atmsettlementunit@bankalfalah.com, syed.fahim@bankalfalah.com, atmcapturedcardscfg@bankalfalah.com, rana.qaiser@bankalfalah.com, farhat.yasmeen@bankalfalah.com, fahad.rayaz@bankalfalah.com",bankalfalah.com,https://bankalfalah.com/careers,
Careem,Karachi,"Amman, Jordan; Islamabad, Pakistan; Karachi, Pakistan; Lahore, Pakistan",careers@careem.com,known company contact,,careem.com,https://boards.greenhouse.io/careem/jobs/8620291002?gh_jid=8620291002,Senior Software Engineer I - Backend
Contour Software,Karachi,Karachi,careers@contour-software.com,company website,"info@contour-software.com, hr@contour-software.com",contour-software.com,https://contour-software.com/careers,
Cubix,Karachi,Karachi,hr@cubixlabs.com,known + company website,info@cubix.co,cubix.co,https://cubix.co/careers,
CureMD,Karachi,Karachi,nathan.bradshaw@curemd.com,company website,,curemd.com,https://curemd.com/careers,
Dawaai,Karachi,Karachi,pharmacy@dawaai.pk,company website,,dawaai.pk,https://dawaai.pk/careers,
Haball,Karachi,Karachi,info@haball.pk,company website,,haball.pk,https://haball.pk/careers,
HBL,Karachi,Karachi,customer.care@hbl.com,company website,"customer.complaints@hbl.com, roshan.complaints@hbl.com, ebanc.roshanaccount@hbl.com, qazi.sibghatullah@hbl.com, fasih.rehman1@hbl.com",hbl.com,https://hbl.com/careers,
i2c,Karachi,Karachi,careers@i2cinc.com,company website,connect@i2cinc.com,i2cinc.com,https://i2cinc.com/careers,
Keenu,Karachi,Karachi,help@keenu.pk,company website,customercare@keenu.pk,keenu.pk,https://keenu.pk/careers,
KoderLabs,Karachi,Karachi,contact@koderlabs.com,company website,,koderlabs.com,https://koderlabs.com/careers,
M&P,Karachi,Karachi,contact@mulphilog.com,company website,info@mulphilog.com,mulphilog.com,https://mulphilog.com/careers,
Meezan Bank,Karachi,Karachi,complaints@meezanbank.com,company website,faiza.sajjad@meezanbank.com,meezanbank.com,https://meezanbank.com/careers,
Motive,Karachi,Karachi / remote,careers@gomotive.com,known + company website,info@gomotive.com,gomotive.com,https://gomotive.com/careers,
NayaPay,Karachi,Karachi,careers@nayapay.com,company website,,nayapay.com,https://nayapay.com/careers,
NorthBay Solutions,Karachi,Karachi,info@northbaysolutions.com,company website,,northbaysolutions.com,https://northbaysolutions.com/careers,
Ovex Technologies,Karachi,Karachi,info@ovextech.com,company website,,ovextech.com,https://ovextech.com/careers,
Retailo,Karachi,Karachi,ideas@retailo.co,company website,info@retailo.co,retailo.co,https://retailo.co/careers,
SadaPay,Karachi,Pakistan,careers@sadapay.pk,known company contact,hello@sadapay.pk,sadapay.pk,https://sadapay.pk/jobs-listing/full-stack-product-engineer,Full Stack Product Engineer Apply 100% remote Full-time Part-time Karachi (preferred) | Remote (considered) Apply
Salsoft Technologies,Karachi,Karachi,hr@salsoft.net,company website,"info@salsoft.net, connecthr@salsoft.net",salsoft.net,https://salsoft.net/careers,
Softech Worldwide,Karachi,Karachi,jhernandez@softechworldwide.com,company website,,softechworldwide.com,https://softechworldwide.com/careers,
Strategic Systems International,Karachi,Karachi,careers@ssidecisions.com,company website,hr@ssidecisions.com,ssidecisions.com,https://ssidecisions.com/careers,
Systems Limited,Karachi,Karachi,investor_relations@systemsltd.com,company website,fayez.qamar@systemsltd.com,systemsltd.com,https://systemsltd.com/careers,
Turing,Karachi,Remote / PK,careers@turing.com,known company contact,"partnerships@turing.com, bugbounty@turing.com",turing.com,https://turing.com/careers,
VentureDive,Karachi,Karachi,careers@venturedive.com,known company contact,hr@venturedive.com,venturedive.com,https://venturedive.applytojob.com/apply/Kvd4hJout1/AI-Engineer-Agentic-Frameworks-LLMs,AI Engineer - Agentic Frameworks & LLMs
Airtable,Pakistan,Anywhere in the World,hr@airtable.com,job posting,,,https://weworkremotely.com/remote-jobs/airtable-software-engineer-infrastructure-8-yoe,"Software Engineer, Infrastructure (8+ YOE)"
Arbisoft,Pakistan,Lahore,contact@arbisoft.com,known + company website,kontakt@arbisoft.com,arbisoft.com,https://arbisoft.com/careers,
Bookme,Pakistan,Lahore,contact@bookme.pk,company website,,bookme.pk,https://bookme.pk/careers,
Cloudflare,Pakistan,Anywhere in the World,hr@cloudflare.com,job posting,,,https://weworkremotely.com/remote-jobs/cloudflare-principal-partner-solutions-engineer-saarc-based-in-bangalore,"Principal Partner Solutions Engineer, SAARC (Based in Bangalore)"
DevBatch,Pakistan,Lahore,inquiry@devbatch.com,company website,,devbatch.com,https://devbatch.com/careers,
Devsinc,Pakistan,Lahore / Islamabad,global.business@devsinc.com,known + company website,,devsinc.com,https://devsinc.com/careers,
Dubizzle Labs,Pakistan,Lahore,info@dubizzlelabs.com,company website,,dubizzlelabs.com,https://dubizzlelabs.com/careers,
Easypaisa,Pakistan,Islamabad,info@easypaisa.com.pk,company website,complaints@easypaisa.com.pk,easypaisa.com.pk,https://easypaisa.com.pk/careers,
Finja,Pakistan,Lahore,info@finja.pk,company website,,finja.pk,https://finja.pk/careers,
LaunchDarkly,Pakistan,Anywhere in the World,careers@launchdarkly.com,job posting,hr@launchdarkly.com,,https://weworkremotely.com/remote-jobs/launchdarkly-backend-engineer-flag-delivery,"Backend Engineer, Flag Delivery"
MCB Bank,Pakistan,Lahore,varun.mody@mcb.com.pk,company website,,mcb.com.pk,https://mcb.com.pk/careers,
Nayatel,Pakistan,Islamabad,billing@nayatel.com,company website,,nayatel.com,https://nayatel.com/careers,
PureLogics,Pakistan,Lahore,info@purelogics.com,company website,,purelogics.com,https://purelogics.com/careers,
Shophive,Pakistan,Lahore,jobs@shophive.com,company website,"info@shophive.com, ceo@shophive.com, corporate@shophive.com",shophive.com,https://shophive.com/careers,
Speridian Technologies,Pakistan,Islamabad,info@speridian.com,company website,,speridian.com,https://speridian.com/careers,
Techverx,Pakistan,Lahore,info@techverx.com,company website,,techverx.com,https://techverx.com/careers,
Teknobuilt,Pakistan,Islamabad,info@teknobuilt.com,company website,,teknobuilt.com,https://teknobuilt.com/careers,
Thoughtworks,Pakistan,PK / global,careers@thoughtworks.com,known + company website,"info-us@thoughtworks.com, sg-th-sharedservices@thoughtworks.com, backgroundverification-india@thoughtworks.com, hr@thoughtworks.com, jobs@thoughtworks.com, talent@thoughtworks.com, recruiting@thoughtworks.com",thoughtworks.com,https://www.thoughtworks.com/careers/jobs/8052979?gh_jid=8052979,Lead Developer (Python /Node.js +React)
Doha Bank,Qatar,Doha,careers@dohabank.com.qa,company website,hellodoha@dohabank.com.qa,dohabank.com.qa,https://dohabank.com.qa/careers,
Malomatia,Qatar,Doha,info@malomatia.com,company website,,malomatia.com,https://malomatia.com/careers,
Mannai,Qatar,Doha,recruitment@mannai.com.qa,company website,,mannai.com,https://mannai.com/careers,
Masraf Al Rayan,Qatar,Doha,ari.info@alrayan.com,company website,"u003eari.info@alrayan.com, ir@alrayan.com, u003eir@alrayan.com, shareholdersaffairs@alrayan.com, u003eshareholdersaffairs@alrayan.com, tony.merhej@alrayan.com, wecare@alrayan.com, u003ewecare@alrayan.com",alrayan.com,https://alrayan.com/careers,
Meeza,Qatar,Doha,investors@meeza.net,company website,info@meeza.net,meeza.net,https://meeza.net/careers,
Sidra Medicine Digital,Qatar,Doha,international.services@sidra.org,company website,patientfeedback@sidra.org,sidra.org,https://sidra.org/careers,
Almoayyed Computers,Bahrain,Manama,careers@almoayyed.com,company website,"hr@almoayyed.com, jobs@almoayyed.com, crm@almoayyed.com",almoayyed.com,https://almoayyed.com/careers,
Fakhro Electronics,Bahrain,Manama,info@fakhro.com,company website,,fakhro.com,https://fakhro.com/careers,
Investcorp,Bahrain,Manama,careers@investcorp.com,company website,"corpcomms@investcorp.com, investorrelations@investcorp.com, reportcyberfraud@investcorp.com, info@investcorp.com, clientcomplaintsofficer@investcorp.com",investcorp.com,https://investcorp.com/careers,
Tarabut,Bahrain,Manama / remote,info@tarabut.com,company website,,tarabut.com,https://tarabut.com/careers,
Tenmou,Bahrain,Manama,info@tenmou.me,company website,,tenmou.me,https://tenmou.me/careers,
NBK Digital,Kuwait,Kuwait,careers@nbk.com,company website,"hr@nbk.com, yourcareer@nbk.com.eg",nbk.com,https://nbk.com/careers,
Bank Muscat Digital,Oman,Muscat,care@bankmuscat.com,company website,,bankmuscat.com,https://bankmuscat.com/careers,
Oman Arab Bank Digital,Oman,Muscat,careers@oman-arabbank.com,company website,"hr@oman-arabbank.com, career@oman-arabbank.com",oman-arabbank.com,https://oman-arabbank.com/careers,
Omantel,Oman,Muscat,self.service@omantel.om,company website,u003ebusiness@omantel.om,omantel.om,https://omantel.om/careers,
Ooredoo Oman,Oman,Muscat,b2boutbound@ooredoo.om,company website,,ooredoo.om,https://ooredoo.om/careers,
AIQ,UAE,Abu Dhabi,careers@aiq.com,company website,"hr@aiq.com, partnerships@aiq.com",aiq.com,https://aiq.com/careers,
Barakat,UAE,Dubai,info@barakatfresh.ae,company website,,barakatfresh.ae,https://barakatfresh.ae/careers,
Beehive,UAE,Dubai / remote,info@beehive.ae,company website,"sme@beehive.ae, investors@beehive.ae",beehive.ae,https://beehive.ae/careers,
Botim,UAE,Dubai / remote,careers@botim.me,company website,"customerservice@botim.me, contact@botim.me, hr@botim.me",botim.me,https://botim.me/careers,
Cartlow,UAE,Dubai / remote,hello@cartlow.com,company website,,cartlow.com,https://cartlow.com/careers,
Checkout.com,UAE,Dubai / remote,careers@checkout.com,known + company website,"pr@checkout.com, yourpayments@checkout.com, talent.acquisition@checkout.com",checkout.com,https://checkout.com/careers,
G42,UAE,Abu Dhabi / remote,contact@g42.ai,company website,,g42.ai,https://g42.ai/careers,
Magnitt,UAE,Dubai / remote,info@magnitt.com,company website,,magnitt.com,https://magnitt.com/careers,
MBC Group / Shahid,UAE,Dubai,careers@mbc.net,company website,"care@mbc.net, contact@mbc.net, investor.relations@mbc.net",mbc.net,https://mbc.net/careers,
Now Money,UAE,Dubai / remote,pr@nowmoney.me,company website,recruitment@nowmoney.me,nowmoney.me,https://nowmoney.me/careers,
Telr,UAE,Dubai / remote,partner@telr.com,company website,,telr.com,https://telr.com/careers,
Trukker,UAE,Dubai / remote,careers@trukker.com,company website,"hr@trukker.com, career@trukker.com",trukker.com,https://trukker.com/careers,
Almosafer,KSA,Riyadh / remote,careers@almosafer.com,company website,"hr@almosafer.com, u003ecareers@almosafer.com",almosafer.com,https://almosafer.com/careers,
Hala,KSA,Riyadh / remote,careers@halacards.com,company website,"salam@halacards.com, hr@halacards.com",halacards.com,https://halacards.com/careers,
Lucidya,KSA,Riyadh / remote,adedic@lucidya.com,company website,ai-report@lucidya.com,lucidya.com,https://lucidya.com/careers,
Nana,KSA,Riyadh / remote,careers@nana.sa,company website,hr@nana.sa,nana.sa,https://nana.sa/careers,
QnE,KSA,Riyadh,info@qne.com.sa,company website,,qne.com.sa,https://qne.com.sa/careers,
Seera,KSA,Riyadh,investors@seera.sa,company website,,seera.sa,https://seera.sa/careers,
Tamkeen Technologies,KSA,Riyadh,info@tamkeentech.sa,company website,,tamkeentech.sa,https://tamkeentech.sa/careers,
Breadfast,Egypt,Cairo / remote,inquiries@breadfast.com,company website,,breadfast.com,https://breadfast.com/careers,
Cequens,Egypt,Cairo / remote,hello@cequens.com,company website,,cequens.com,https://cequens.com/careers,
Elmenus,Egypt,Cairo,guest@elmenus.com,company website,,elmenus.com,https://elmenus.com/careers,
Flat6Labs,Egypt,Cairo / remote,careers@flat6labs.com,company website,hr@flat6labs.com,flat6labs.com,https://flat6labs.com/careers,
Halan / MNT-Halan,Egypt,Cairo,info@halan.com,company website,,halan.com,https://halan.com/careers,
Incorta,Egypt,Cairo / remote,info@incorta.com,company website,,incorta.com,https://incorta.com/careers,
Raya,Egypt,Cairo,info@rayacorp.com,company website,"fmcg@rayacorp.com, rayait_info@rayacorp.com",rayacorp.com,https://rayacorp.com/careers,
Valify,Egypt,Cairo / remote,info@valify.me,company website,,valify.me,https://valify.me/careers,
ArabiaWeather,Jordan,Amman,careers@arabiaweather.com,company website,"helpdesk@arabiaweather.com, advertising@arabiaweather.com, stations@arabiaweather.com",arabiaweather.com,https://arabiaweather.com/careers,
Estarta,Jordan,Amman,info@estarta.com,company website,,estarta.com,https://estarta.com/careers,
ProgressSoft,Jordan,Amman / remote,careers@progressoft.com,company website,"hr@progressoft.com, info@progressoft.com",progressoft.com,https://progressoft.com/careers,
Murex,Lebanon,Beirut / remote,website@murex.com,company website,,murex.com,https://murex.com/careers,
AppsFlyer,MENA,Tel Aviv / remote,careers@appsflyer.com,company website,"agency@appsflyer.com, globalops@appsflyer.com, partners@appsflyer.com, liron.or@appsflyer.com",appsflyer.com,https://appsflyer.com/careers,
Bayzat,MENA,Dubai,recruitment@bayzat.com,company website,,bayzat.com,https://bayzat.com/careers,
Delivery Hero,MENA,Dubai / Berlin,careers@deliveryhero.com,known company contact,,deliveryhero.com,https://deliveryhero.com/careers,
Emirates Group IT,MENA,Dubai,pr@emirates.com,company website,"buerrek2@emirates.com, saorrek@emirates.com",emirates.com,https://emirates.com/careers,
Foodics,MENA,Riyadh,info@foodics.com,company website,,foodics.com,https://foodics.com/careers,
Fresha,MENA,Dubai / remote,careers@fresha.com,company website,"hr@fresha.com, jobs@fresha.com",fresha.com,https://fresha.com/careers,
Huspy,MENA,Dubai,careers@huspy.com,company website,"hr@huspy.com, hi@huspy.com",huspy.com,https://huspy.com/careers,
Kitopi,MENA,Dubai,careers@kitopi.com,company website,"hr@kitopi.com, info@kitopi.com, nouha@kitopi.com",kitopi.com,https://kitopi.com/careers,
MaxAB,MENA,Cairo,careers@maxab.io,company website,info@maxab.io,maxab.io,https://maxab.io/careers,
Monday.com,MENA,Tel Aviv / remote,accessibility@monday.com,company website,,monday.com,https://monday.com/careers,
Qlub,MENA,Dubai,info-xx@qlub.io,company website,"info@qlub.io, info-sa@qlub.io, info-kw@qlub.io, info-qa@qlub.io, info-au@qlub.io, info-sg@qlub.io, info-my@qlub.io, info-hk@qlub.io, info-kr@qlub.io, info-br@qlub.io, info-us@qlub.io, info.bh@qlub.io, info.eg@qlub.io, info.jo@qlub.io",qlub.io,https://qlub.io/careers,
Tipalti,MENA,Tel Aviv / remote,contact@tipalti.com,company website,,tipalti.com,https://tipalti.com/careers,
Adevinta,Europe,Barcelona / remote,careers@adevinta.com,company website,"contact@adevinta.com, hr@adevinta.com",adevinta.com,https://adevinta.com/careers,
Aiven,Europe,Helsinki / remote,careers@aiven.io,company website,"hr@aiven.io, recruitment@aiven.io",aiven.io,https://aiven.io/careers,
Ajax Systems,Europe,Kyiv / remote,careers@ajax.systems,company website,hr@ajax.systems,ajax.systems,https://ajax.systems/careers,
Alan,Europe,Paris / remote,careers@alan.com,company website,"hr@alan.com, contact@alan.com",alan.com,https://alan.com/careers,
Algolia,Europe,Paris / remote,partners@algolia.com,company website,billing@algolia.com,algolia.com,https://algolia.com/careers,
AUTO1,Europe,Berlin / remote,info@auto1-group.com,company website,"ir@auto1-group.com, hr-be@auto1.com, hr-see@auto1.com, hr-dk@auto1.com, talentacquisition_hq@auto1.com, recruitment-nl@auto1.com",auto1-group.com,https://auto1-group.com/careers,
Bunny.net,Europe,Slovenia / remote,hello@bunny.net,company website,,bunny.net,https://bunny.net/careers,
Celonis,Europe,Munich / remote,info@celonis.com,company website,,celonis.com,https://celonis.com/careers,
Contentsquare,Europe,Paris / remote,people.ops@contentsquare.com,company website,"contact-fr@contentsquare.com, contact-uk@contentsquare.com, contact-us@contentsquare.com, contact-ita@contentsquare.com",contentsquare.com,https://contentsquare.com/careers,
CrowdStrike,Europe,"Germany,  Ireland,  Israel,  Romania,  UK",recruiting@crowdstrike.com,job posting,,,https://jobicy.com/jobs/145057-sr-security-researcher-ii-remote-deu,"Sr. Security Researcher II (Remote, DEU)"
DeepL,Europe,Cologne / remote,block@deepl.com,company website,u003eblock@deepl.com,deepl.com,https://deepl.com/careers,
Doist,Europe,Europe / remote,careers@doist.com,company website,hr@doist.com,doist.com,https://doist.com/careers,
Dynatrace,Europe,Linz / remote,emeainfo@dynatrace.com,company website,"research@dynatrace.com, office.brno@dynatrace.com, dt-egypt-partner@dynatrace.com, pauli.karkkainen@dynatrace.com, dt-greece-partner@dynatrace.com, office.tel-aviv@dynatrace.com, gdn.office@dynatrace.com, meinfo@dynatrace.com, dt-south-africa-partner@dynatrace.com, bcn.office@dynatrace.com, dt-turkey-partner@dynatrace.com, india.contact@dynatrace.com, japan.info@dynatrace.com, korea.info@dynatrace.com",dynatrace.com,https://dynatrace.com/careers,
Fenergo,Europe,Dublin / remote,careers@fenergo.com,company website,"hello@fenergo.com, partners@fenergo.com",fenergo.com,https://fenergo.com/careers,
Framer,Europe,Amsterdam / remote,abuse@framer.com,company website,,framer.com,https://framer.com/careers,
Gitpod,Europe,Europe / remote,contact@gitpod.io,company website,,gitpod.io,https://gitpod.io/careers,
Grafana Labs,Europe,Europe / remote,info@grafana.com,company website,partners@grafana.com,grafana.com,https://grafana.com/careers,
Hetzner,Europe,Germany / remote,info@hetzner.com,company website,"tco@hetzner.com, dsa-authorities@hetzner.com",hetzner.com,https://hetzner.com/careers,
Jobandtalent,Europe,Madrid / remote,careers@jobandtalent.com,company website,"info.de@jobandtalent.com, hr@jobandtalent.com",jobandtalent.com,https://jobandtalent.com/careers,
King,Europe,Stockholm / remote,de.help@king.com,company website,,king.com,https://king.com/careers,
Langfuse,Europe,Berlin / remote,contact@langfuse.com,company website,,langfuse.com,https://langfuse.com/careers,
Mirantis,Europe,Europe,isamoylova@mirantis.com,job posting,,,https://jobicy.com/jobs/150239-pre-sales-solution-architect-ai-infrastructure-remote-in-the-eu,Pre-Sales Solution Architect – AI Infrastructure (remote in the EU)
Mistral AI,Europe,Paris / remote,peter@mistral.ai,company website,,mistral.ai,https://mistral.ai/careers,
Mollie,Europe,Amsterdam / remote,careers@mollie.com,company website,"info@mollie.com, hr@mollie.com",mollie.com,https://mollie.com/careers,
