Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,Location Clause,Letter,SMTP Verification
Moneyfarm,Europe,Milan / remote,hello@moneyfarm.com,company website,,moneyfarm.com,https://moneyfarm.com/careers,Software Engineer, (remote),,
Tide,Europe,London / remote,hello@tide.co,company website,complaints@tide.co,tide.co,https://tide.co/careers,Software Engineer, (remote),,
Alaan,UAE,Dubai / remote,careers@alaan.com,company website,hr@alaan.com,alaan.com,https://alaan.com/careers,Software Engineer, (remote),,
Monday.com,MENA,Tel Aviv / remote,careers@monday.com,company website,"hr@monday.com, accessibility@monday.com",monday.com,https://monday.com/careers,Software Engineer, (remote),,
Ghost,Europe,Singapore / remote,careers@ghost.org,company website,hr@ghost.org,ghost.org,https://ghost.org/careers,Software Engineer, (remote),,
GitBook,Europe,Europe / remote,careers@gitbook.com,company website,hr@gitbook.com,gitbook.com,https://gitbook.com/careers,Software Engineer, (remote),,
Intercom,Europe,Dublin / remote,careers@intercom.com,company website,hr@intercom.com,intercom.com,https://intercom.com/careers,Software Engineer, (remote),,
Mistral AI,Europe,Paris / remote,careers@mistral.ai,company website,"hr@mistral.ai, peter@mistral.ai",mistral.ai,https://mistral.ai/careers,Software Engineer, (remote),,
PostHog,Europe,Europe / remote,careers@posthog.com,company website,hr@posthog.com,posthog.com,https://posthog.com/careers,Software Engineer, (remote),,
Remote,Europe,Lisbon / remote,careers@remote.com,company website,"hr@remote.com, help@remote.com, hiring@remote.com",remote.com,https://remote.com/careers,Software Engineer, (remote),,
Pleo,Europe,Copenhagen / remote,careers@pleo.io,company website,"hr@pleo.io, partners@pleo.io, info@pleo.io",pleo.io,https://pleo.io/careers,Software Engineer, (remote),,
DeepL,Europe,Cologne / remote,careers@deepl.com,company website,"hr@deepl.com, block@deepl.com, u003eblock@deepl.com",deepl.com,https://deepl.com/careers,Software Engineer, (remote),,
GoCardless,Europe,London / remote,careers@gocardless.com,company website,hr@gocardless.com,gocardless.com,https://gocardless.com/careers,Software Engineer, (remote),,
Leapsome,Europe,Berlin / remote,careers@leapsome.com,company website,hr@leapsome.com,leapsome.com,https://leapsome.com/careers,Software Engineer, (remote),,
Payhawk,Europe,London / remote,careers@payhawk.com,company website,hr@payhawk.com,payhawk.com,https://payhawk.com/careers,Software Engineer, (remote),,
Bird,Europe,Amsterdam / remote,careers@bird.com,company website,hr@bird.com,bird.com,https://bird.com/careers,Software Engineer, (remote),,
