Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
Bank Alfalah,Karachi,Karachi,contactus@bankalfalah.com,company website,"atif.sarwar@bankalfalah.com, karim.najmuddin@bankalfalah.com, atmsettlementunit@bankalfalah.com, syed.fahim@bankalfalah.com, atmcapturedcardscfg@bankalfalah.com, rana.qaiser@bankalfalah.com, farhat.yasmeen@bankalfalah.com, fahad.rayaz@bankalfalah.com",bankalfalah.com,https://bankalfalah.com/careers,
Dawaai,Karachi,Karachi,pharmacy@dawaai.pk,company website,,dawaai.pk,https://dawaai.pk/careers,
Golootlo,Karachi,Karachi,info@golootlo.pk,company website,,golootlo.pk,https://golootlo.pk/careers,
HBL,Karachi,Karachi,customer.care@hbl.com,company website,"roshan.complaints@hbl.com, ebanc.roshanaccount@hbl.com, qazi.sibghatullah@hbl.com, fasih.rehman1@hbl.com",hbl.com,https://hbl.com/careers,
i2c,Karachi,Karachi,careers@i2cinc.com,company website,connect@i2cinc.com,i2cinc.com,https://i2cinc.com/careers,
M&P,Karachi,Karachi,contact@mulphilog.com,company website,info@mulphilog.com,mulphilog.com,https://mulphilog.com/careers,
Meezan Bank,Karachi,Karachi,complaints@meezanbank.com,company website,faiza.sajjad@meezanbank.com,meezanbank.com,https://meezanbank.com/careers,
Soneri Bank Digital,Karachi,Karachi,complaint.suggestion@soneribank.com,company website,"cs@soneribank.com, u003ecs@soneribank.com, whistleblowing.unit@soneribank.com, u003ewhistleblowing.unit@soneribank.com, u003ecomplaint.suggestion@soneribank.com, nade.ali@soneribank.com, u003enade.ali@soneribank.com, shazia.akhtar@soneribank.com, u003eshazia.akhtar@soneribank.com, nazir.asif@soneribank.com, u003enazir.asif@soneribank.com, tazeen.fatima@soneribank.com, u003etazeen.fatima@soneribank.com, greenadvisory.services@soneribank.com, u003egreenadvisory.services@soneribank.com, products@soneribank.com, hasnain.khan@soneribank.com, arif.zia@soneribank.com, khaleeq.rehman@soneribank.com, shahzad.taswir@soneribank.com, digital.banking@soneribank.com, 249bck.staff@soneribank.com, bahriacomplex3.khi@soneribank.com, moiz.abidi@soneribank.com, cmd@soneribank.com, ibproduct.team@soneribank.com, pri@soneribank.com, zia.habib@soneribank.com, farrukh.hassan@soneribank.com, fincon@soneribank.com, ahmed.khalil@soneribank.com, cto.tradenquiry@soneribank.com, centralized.remittance@soneribank.com, mpmg@soneribank.com, cto.guarantees@soneribank.com, raheel.bhagar@soneribank.com, wealth.management@soneribank.com",soneribank.com,https://soneribank.com/careers,
Bookme,Pakistan,Lahore,contact@bookme.pk,company website,,bookme.pk,https://bookme.pk/careers,
CresTech,Pakistan,Lahore,connect@crestechsoftware.com,company website,,crestechsoftware.com,https://crestechsoftware.com/careers,
Devathon,Pakistan,Lahore / remote,hello@devathon.com,company website,,devathon.com,https://devathon.com/careers,
DevBatch,Pakistan,Lahore,inquiry@devbatch.com,company website,,devbatch.com,https://devbatch.com/careers,
Easypaisa,Pakistan,Islamabad,info@easypaisa.com.pk,company website,complaints@easypaisa.com.pk,easypaisa.com.pk,https://easypaisa.com.pk/careers,
Ebryx,Pakistan,Lahore / remote,securenow@ebryx.com,company website,,ebryx.com,https://ebryx.com/careers,
Finja,Pakistan,Lahore,info@finja.pk,company website,,finja.pk,https://finja.pk/careers,
Logicose,Pakistan,Lahore,jobs@logicose.com,company website,,logicose.com,https://logicose.com/careers,
MCB Bank,Pakistan,Lahore,varun.mody@mcb.com.pk,company website,,mcb.com.pk,https://mcb.com.pk/careers,
Nayatel,Pakistan,Islamabad,billing@nayatel.com,company website,,nayatel.com,https://nayatel.com/careers,
Shophive,Pakistan,Lahore,jobs@shophive.com,company website,"info@shophive.com, ceo@shophive.com, corporate@shophive.com",shophive.com,https://shophive.com/careers,
Sofizar,Pakistan,Lahore,art@sofizar.com,company website,,sofizar.com,https://sofizar.com/careers,
SoftPyramid,Pakistan,Lahore,fakhar@softpyramid.com,company website,nfakhar@softpyramid.com,softpyramid.com,https://softpyramid.com/careers,
Softsquare,Pakistan,Lahore,info@softsquare.biz,company website,,softsquare.biz,https://softsquare.biz/careers,
Speridian Technologies,Pakistan,Islamabad,info@speridian.com,company website,,speridian.com,https://speridian.com/careers,
Synergy-IT,Pakistan,Lahore,hello@synergy-it.com,company website,,synergy-it.com,https://synergy-it.com/careers,
Techverx,Pakistan,Lahore,info@techverx.com,company website,,techverx.com,https://techverx.com/careers,
Teknobuilt,Pakistan,Islamabad,info@teknobuilt.com,company website,,teknobuilt.com,https://teknobuilt.com/careers,
Aspire Zone Digital,Qatar,Doha,info@aspirezone.qa,company website,"feedback@aspirezone.qa, recruitment@aspirezone.qa, documentcontrolazf@aspirezone.qa, nationaldevelopment.azf@aspirezone.qa",aspirezone.qa,https://aspirezone.qa/careers,
Estithmar Holding Digital,Qatar,Doha,info@estithmarholding.com,company website,investor.relations@estithmarholding.com,estithmarholding.com,https://estithmarholding.com/careers,
GWC Digital,Qatar,Doha,solutions@gwclogistics.com,company website,"info@gwclogistics.com, recruitment@gwclogistics.com",gwclogistics.com,https://gwclogistics.com/careers,
Qatar Islamic Bank Digital,Qatar,Doha,info@qib.com.qa,company website,,qib.com.qa,https://qib.com.qa/careers,
Qatar Post Digital,Qatar,Doha,customers@qatarpost.qa,company website,info@qatarpost.qa,qatarpost.qa,https://qatarpost.qa/careers,
UDC Digital,Qatar,Doha,leasing@udcqatar.com,company website,"retail@udcqatar.com, info@udcqatar.com",udcqatar.com,https://udcqatar.com/careers,
Alghanim Industries Digital,Kuwait,Kuwait,compliance@alghanim.com,company website,,alghanim.com,https://alghanim.com/careers,
Boubyan Digital,Kuwait,Kuwait City,info-boubyan@boubyan.com,company website,,boubyan.com,https://boubyan.com/careers,
Equate Digital,Kuwait,Kuwait,information@equate.com,company website,,equate.com,https://equate.com/careers,
Warba Bank Digital,Kuwait,Kuwait,info@warbabank.com,company website,,warbabank.com,https://warbabank.com/careers,
Hala,KSA,Riyadh / remote,salam@halacards.com,company website,,halacards.com,https://halacards.com/careers,
Murex,Lebanon,Beirut / remote,website@murex.com,company website,,murex.com,https://murex.com/careers,
Emirates Group IT,MENA,Dubai,pr@emirates.com,company website,"buerrek2@emirates.com, saorrek@emirates.com",emirates.com,https://emirates.com/careers,
Amie,Europe,Berlin / remote,dennis@amie.so,company website,,amie.so,https://amie.so/careers,
CoverManager,Europe,Seville / remote,hospitality@covermanager.com,company website,"contacto@covermanager.com, hospitality.latam@covermanager.com",covermanager.com,https://covermanager.com/careers,
DeepL,Europe,Cologne / remote,block@deepl.com,company website,u003eblock@deepl.com,deepl.com,https://deepl.com/careers,
Dynatrace,Europe,Linz / remote,emeainfo@dynatrace.com,company website,"research@dynatrace.com, office.brno@dynatrace.com, dt-egypt-partner@dynatrace.com, pauli.karkkainen@dynatrace.com, dt-greece-partner@dynatrace.com, office.tel-aviv@dynatrace.com, gdn.office@dynatrace.com, meinfo@dynatrace.com, dt-south-africa-partner@dynatrace.com, bcn.office@dynatrace.com, dt-turkey-partner@dynatrace.com, india.contact@dynatrace.com, japan.info@dynatrace.com, korea.info@dynatrace.com",dynatrace.com,https://dynatrace.com/careers,
Gousto,Europe,London / remote,info@gousto.co.uk,company website,,gousto.co.uk,https://gousto.co.uk/careers,
Habitissimo,Europe,Palma / remote,soporte@habitissimo.com,company website,,habitissimo.com,https://habitissimo.com/careers,
King,Europe,Stockholm / remote,de.help@king.com,company website,,king.com,https://king.com/careers,
Mistral AI,Europe,Paris / remote,peter@mistral.ai,company website,,mistral.ai,https://mistral.ai/careers,
Moneyfarm,Europe,Milan / remote,hello@moneyfarm.com,company website,,moneyfarm.com,https://moneyfarm.com/careers,
Nexthink,Europe,Lausanne / remote,ncontact@nexthink.com,company website,,nexthink.com,https://nexthink.com/careers,
Octopus Energy,Europe,London / remote,hello@octopus.energy,company website,business@octopus.energy,octopus.energy,https://octopus.energy/careers,
Pleo,Europe,Copenhagen / remote,partners@pleo.io,company website,info@pleo.io,pleo.io,https://pleo.io/careers,
Remote,Europe,Lisbon / remote,help@remote.com,company website,,remote.com,https://remote.com/careers,
Speechmatics,Europe,Cambridge / remote,hello@speechmatics.com,company website,,speechmatics.com,https://speechmatics.com/careers,
Stability AI,Europe,London / remote,partners@stability.ai,company website,,stability.ai,https://stability.ai/careers,
Starling Bank,Europe,London / remote,help@starlingbank.com,company website,"speaking.invitations@starlingbank.com, brandpartnerships@starlingbank.com, accounts@starlingbank.com",starlingbank.com,https://starlingbank.com/careers,
Swan,Europe,Paris / remote,requisition@swan.io,company website,,swan.io,https://swan.io/careers,
Tide,Europe,London / remote,hello@tide.co,company website,complaints@tide.co,tide.co,https://tide.co/careers,
TomTom,Europe,Amsterdam / remote,productsafetyquestions@tomtom.com,company website,,tomtom.com,https://tomtom.com/careers,
Truecaller,Europe,Stockholm / remote,hitesh.bhagat@truecaller.com,company website,andreas.frid@truecaller.com,truecaller.com,https://truecaller.com/careers,
Typeform,Europe,Barcelona / remote,email@typeform.com,company website,,typeform.com,https://typeform.com/careers,
Vivaldi,Europe,Oslo / remote,team_vivaldi@vivaldi.com,company website,,vivaldi.com,https://vivaldi.com/careers,
Vivid Money,Europe,Berlin / remote,tzagorsek@vivid.money,company website,"bugbounty@vivid.money, help.business@vivid.money, rfi-emi@vivid.money, imprint@vivid.money, fr-branch-emi@vivid.money, it-branch-emi@vivid.money, es-branch-emi@vivid.money, nl-branch-emi@vivid.money, officials@vivid.money",vivid.money,https://vivid.money/careers,
Wefox,Europe,Berlin / remote,feedback@wefox.com,company website,,wefox.com,https://wefox.com/careers,
Wise,Europe,London / remote,ouvidoria@wise.com,company website,u003eouvidoria@wise.com,wise.com,https://wise.com/careers,
Xeneta,Europe,Oslo / remote,info@xeneta.com,company website,,xeneta.com,https://xeneta.com/careers,
Yolo Group,Europe,Milan / remote,assistenza@yolo-insurance.com,company website,,yolo-insurance.com,https://yolo-insurance.com/careers,
Expert360,Australia,Sydney / remote,info@expert360.com,company website,,expert360.com,https://expert360.com/careers,
Finder,Australia,Sydney / remote,isaiah@finder.com.au,company website,,finder.com.au,https://finder.com.au/careers,
MYOB,Australia,Melbourne / remote,exo.services.au@myob.com,company website,feedback@myob.com,myob.com,https://myob.com/careers,
NextDC,Australia,Sydney / remote,info@nextdc.com,company website,,nextdc.com,https://nextdc.com/careers,
Rokt,Australia,Sydney / remote,molly.wagman@rokt.com,company website,,rokt.com,https://rokt.com/careers,
Wisetech Global,Australia,Sydney / remote,communications@wisetechglobal.com,company website,,wisetechglobal.com,https://wisetechglobal.com/careers,
