Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,Location Clause,Letter,SMTP Verification
HazenTech,Pakistan,Islamabad,careers@hazentech.com,company website,,hazentech.com,https://hazentech.com,,,,cache probe-blocked
LMKT,Pakistan,Islamabad,careers@lmkt.com,company website,,lmkt.com,https://lmkt.com,,,,cache probe-blocked
Netsmartz,Pakistan,Lahore,careers@netsmartz.com,company website,,netsmartz.com,https://netsmartz.com,,,,cache probe-blocked
Speridian Technologies,Pakistan,Islamabad,careers@speridian.com,company website,,speridian.com,https://speridian.com,,,,cache probe-blocked
MoneyLion Malaysia,Malaysia,Kuala Lumpur / remote,careers@moneylion.com,company website,,moneylion.com,https://moneylion.com,,,,cache probe-blocked
TomTom,Europe,Amsterdam / remote,careers@tomtom.com,company website,,tomtom.com,https://tomtom.com,,,,cache probe-blocked
Softsquare,Pakistan,Lahore,info@softsquare.biz,company website,,softsquare.biz,https://softsquare.biz,,,,cache probe-blocked
Synergy-IT,Pakistan,Lahore,hello@synergy-it.com,company website,,synergy-it.com,https://synergy-it.com,,,,cache probe-blocked
Octopus Energy,Europe,London / remote,hello@octopus.energy,company website,,octopus.energy,https://octopus.energy,,,,cache probe-blocked
Speechmatics,Europe,Cambridge / remote,hello@speechmatics.com,company website,,speechmatics.com,https://speechmatics.com,,,,cache probe-blocked
