company,email,role,Status,smtp
Dubizzle,careers@dubizzle.com,Software Engineer / Frontend (React),sent,cache strict-valid
Zameen.com,hr@zameen.com,Junior Frontend / Full Stack Developer,sent,cache strict-valid
Daraz,hr@daraz.pk,Junior Software Engineer / Frontend,sent,cache strict-valid
Ephlux,careers@ephlux.com,Software Engineer / Frontend (React),sent,cache strict-valid
Wavetec,careers@wavetec.com,Junior Software Engineer / Frontend,sent,cache strict-valid
Sofstica,career@sofstica.com,Junior Full Stack / Frontend Developer,sent,cache strict-valid
RemoteBase,people@remotebase.com,Remote Frontend / Full Stack Engineer (React/Next.js),sent,cache strict-valid
Hashpotato,business@hashpotato.io,Frontend / Full Stack Engineer,sent,cache strict-valid
Retool,hello@retool.com,Software Engineer / Frontend (product),sent,cache strict-valid
Hugging Face,careers@huggingface.co,Frontend / Full Stack (junior interest),sent,cache strict-valid
n8n,people@n8n.io,Full Stack / Frontend Engineer (workflow product),sent,cache strict-valid
