Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
Al Jazeera Digital,Qatar,Doha,careers@aljazeera.com,guessed pattern (verify before sending),hr@aljazeera.com,aljazeera.com,https://aljazeera.com/careers,
BeIN Media Group,Qatar,Doha,careers@bein.com,guessed pattern (verify before sending),hr@bein.com,bein.com,https://bein.com/careers,
Commercial Bank Qatar,Qatar,Doha,careers@cbq.qa,guessed pattern (verify before sending),hr@cbq.qa,cbq.qa,https://cbq.qa/careers,
Doha Bank,Qatar,Doha,careers@dohabank.com.qa,company website,"hellodoha@dohabank.com.qa, hr@dohabank.com.qa",dohabank.com.qa,https://dohabank.com.qa/careers,
HBKU / Qatar Foundation IT,Qatar,Doha,careers@hbku.edu.qa,guessed pattern (verify before sending),hr@hbku.edu.qa,hbku.edu.qa,https://hbku.edu.qa/careers,
Malomatia,Qatar,Doha,careers@malomatia.com,company website,"info@malomatia.com, hr@malomatia.com",malomatia.com,https://malomatia.com/careers,
Mannai,Qatar,Doha,careers@mannai.com,company website,"recruitment@mannai.com.qa, hr@mannai.com",mannai.com,https://mannai.com/careers,
Masraf Al Rayan,Qatar,Doha,careers@alrayan.com,company website,"ari.info@alrayan.com, u003eari.info@alrayan.com, ir@alrayan.com, u003eir@alrayan.com, shareholdersaffairs@alrayan.com, u003eshareholdersaffairs@alrayan.com, tony.merhej@alrayan.com, wecare@alrayan.com, u003ewecare@alrayan.com, hr@alrayan.com",alrayan.com,https://alrayan.com/careers,
Meeza,Qatar,Doha,careers@meeza.net,company website,"investors@meeza.net, info@meeza.net, hr@meeza.net",meeza.net,https://meeza.net/careers,
Ooredoo Money,Qatar,Doha,careers@ooredoomoney.com,guessed pattern (verify before sending),hr@ooredoomoney.com,ooredoomoney.com,https://ooredoomoney.com/careers,
QatarEnergy Digital,Qatar,Doha,careers@qatarenergy.qa,guessed pattern (verify before sending),hr@qatarenergy.qa,qatarenergy.qa,https://qatarenergy.qa/careers,
QCRI,Qatar,Doha,careers@qcri.org,guessed pattern (verify before sending),hr@qcri.org,qcri.org,https://qcri.org/careers,
QNB Digital,Qatar,Doha,careers@qnb.com,guessed pattern (verify before sending),hr@qnb.com,qnb.com,https://qnb.com/careers,
Rafeeq,Qatar,Doha / remote,careers@rafeeqapp.com,guessed pattern (verify before sending),hr@rafeeqapp.com,rafeeqapp.com,https://rafeeqapp.com/careers,
Sidra Medicine Digital,Qatar,Doha,careers@sidra.org,company website,"international.services@sidra.org, patientfeedback@sidra.org, hr@sidra.org",sidra.org,https://sidra.org/careers,
Snoonu,Qatar,Doha / remote,careers@snoonu.com,guessed pattern (verify before sending),hr@snoonu.com,snoonu.com,https://snoonu.com/careers,
Vodafone Qatar,Qatar,Doha,careers@vodafone.qa,guessed pattern (verify before sending),hr@vodafone.qa,vodafone.qa,https://vodafone.qa/careers,
Woqod,Qatar,Doha,careers@woqod.com.qa,guessed pattern (verify before sending),hr@woqod.com.qa,woqod.com.qa,https://woqod.com.qa/careers,
Almoayyed Computers,Bahrain,Manama,careers@almoayyed.com,company website,"hr@almoayyed.com, jobs@almoayyed.com, crm@almoayyed.com",almoayyed.com,https://almoayyed.com/careers,
Bahrain FinTech Bay,Bahrain,Manama,careers@bahrainfintechbay.com,guessed pattern (verify before sending),hr@bahrainfintechbay.com,bahrainfintechbay.com,https://bahrainfintechbay.com/careers,
