Company,Email,Role,Location,URL,Tag
MutuiOnline,careers@mutuionline.it,Software Engineer (Full Stack / Frontend / AI),Milan / remote,https://mutuionline.it/careers,strict-strict
Klarna,careers@klarna.com,Software Engineer (Full Stack / Frontend / AI),Stockholm / remote,https://klarna.com/careers,strict-strict
eToro,careers@etoro.com,Software Engineer (Full Stack / Frontend / AI),London / remote,https://etoro.com/careers,strict-strict
Tresorit,careers@tresorit.com,Software Engineer (Full Stack / Frontend / AI),Zurich / remote,https://tresorit.com/careers,strict-strict
Kry,careers@kry.se,Software Engineer (Full Stack / Frontend / AI),Stockholm / remote,https://kry.se/careers,strict-strict
UiPath,careers@uipath.com,Software Engineer (Full Stack / Frontend / AI),Bucharest / remote,https://uipath.com/careers,strict-strict
Zoho,careers@zoho.com,Software Engineer (Full Stack / Frontend / AI),Worldwide remote,https://zoho.com/careers,strict-strict
Mailgun,careers@mailgun.com,Software Engineer (Full Stack / Frontend / AI),Worldwide remote,https://mailgun.com/careers,strict-strict
LMKT Digital,hr@lmkt.com,Software Engineer (Full Stack / Frontend / AI),Islamabad,https://lmkt.com/careers,strict-strict
Easypaisa Tech,careers@easypaisa.com.pk,Software Engineer (Full Stack / Frontend / AI),Islamabad,https://easypaisa.com.pk/careers,strict-strict
Finja Tech,careers@finja.pk,Software Engineer (Full Stack / Frontend / AI),Lahore,https://finja.pk/careers,strict-strict
Netsmartz Pakistan,hr@netsmartz.com,Software Engineer (Full Stack / Frontend / AI),Lahore,https://netsmartz.com/careers,strict-strict
