Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,Location Clause,Letter,SMTP Verification
Devsort,Pakistan,,hr@devsort.net,known company contact,,devsort.net,,,,,"mx1-hosting.jellyfish.systems rcpt 250 b'2.1.5 Ok' | fake:mx1-hosting.jellyfish.systems rcpt 554 b'5.1.1 <no-mailbox-lluf68ha2w9d@devsort.net>: Recipient address rejected: undeliverable address: Mailbox might be disabled, full, or may not exist on the server. Reason: JFE030050'"
Rendream,Pakistan,,careers@rendream.work,known company contact,,rendream.work,,,,,mx.yandex.net rcpt 250 b'2.1.5 <careers@rendream.work> recipient ok 1787132603-MhSotbEVKW20-Si5LzkyX' | fake:mx.yandex.net rcpt 550 b'5.7.1 No such user! 1787132604-NhSXtwDVJCg0-E5ANmGR9'
Solutioninn,Pakistan,,mahrukh@solutioninn.com,known company contact,,solutioninn.com,,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b146f1a1si2913509f8f.77 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b151423"
dinindustries,Pakistan,,hrdpl@dinindustries.com,known company contact,,dinindustries.com,,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b146ec42si2957662f8f.69 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b1527aa"
tekhqs,Pakistan,,asma.noor@tekhqs.com,known company contact,,tekhqs.com,,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b146f16bsi2714941f8f.26 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b1506b7"
sysvoy,Pakistan,,hr@sysvoy.com,known company contact,,sysvoy.com,,,,,"SMTP.GOOGLE.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482b1524dbdsi2864049f8f.413 - gsmtp' | fake:SMTP.GOOGLE.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b146ec59si32"
gamedistrict,Pakistan,,hassanmahmood@gamedistrict.co,known company contact,,gamedistrict.co,,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-499aa07e41esi30104575e9.7 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b146eac4"
suzukicanal,Pakistan,,sohail@suzukicanal.com.pk,known company contact,,suzukicanal.com.pk,,,,,"mail.suzukicanal.com.pk rcpt 250 b'Accepted' | fake:mail.suzukicanal.com.pk rcpt 550 b'No Such User Here""'"
ozipub,Pakistan,,careers@ozipub.io,known company contact,,ozipub.io,,,,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-499aa0acb1csi29012165e9.13 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-482b146eef"
nxb,Pakistan,,kainat.ali@nxb.com.pk,known company contact,,nxb.com.pk,,,,,mx01.nxb.com.pk rcpt 250 b'2.1.5 Ok' | fake:mx01.nxb.com.pk rcpt 550 b'5.1.1 <no-mailbox-zv0uy3n2gfqp@nxb.com.pk>: Recipient address rejected: User unknown'
glixentech,Pakistan,,hr@glixentech.com,known company contact,,glixentech.com,,,,,cloud-148677.managed-vps.net rcpt 250 b'Accepted' | fake:cloud-148677.managed-vps.net rcpt 550 b'unknown user'
