Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
10Pearls,Karachi,Remote,careers@10pearls.com,known company contact,"info@10pearls.com, sahar.afzal@10pearls.com",10pearls.com,https://10pearls.applytojob.com/apply/aNEYRjfKar/Backend-PythonDjango,Backend Python/Django
Arpatech,Karachi,Karachi,careers@arpatech.com,company website,"hr@arpatech.com, info@arpatech.com",arpatech.com,https://arpatech.com/careers,
Bank Alfalah,Karachi,Karachi,careers@bankalfalah.com,company website,"hr@bankalfalah.com, contactus@bankalfalah.com, atif.sarwar@bankalfalah.com, karim.najmuddin@bankalfalah.com, atmsettlementunit@bankalfalah.com, syed.fahim@bankalfalah.com, atmcapturedcardscfg@bankalfalah.com, rana.qaiser@bankalfalah.com, farhat.yasmeen@bankalfalah.com, fahad.rayaz@bankalfalah.com",bankalfalah.com,https://bankalfalah.com/careers,
Careem,Karachi,"Amman, Jordan; Islamabad, Pakistan; Karachi, Pakistan; Lahore, Pakistan",careers@careem.com,known company contact,,careem.com,https://boards.greenhouse.io/careem/jobs/8620291002?gh_jid=8620291002,Senior Software Engineer I - Backend
Contour Software,Karachi,Karachi,careers@contour-software.com,company website,"hr@contour-software.com, info@contour-software.com",contour-software.com,https://contour-software.com/careers,
Cubix,Karachi,Karachi,hr@cubixlabs.com,known company contact,info@cubix.co,cubix.co,https://cubix.co/careers,
CureMD,Karachi,Karachi,careers@curemd.com,company website,"hr@curemd.com, nathan.bradshaw@curemd.com",curemd.com,https://curemd.com/careers,
Dawaai,Karachi,Karachi,careers@dawaai.pk,company website,"hr@dawaai.pk, pharmacy@dawaai.pk",dawaai.pk,https://dawaai.pk/careers,
Haball,Karachi,Karachi,careers@haball.pk,company website,"hr@haball.pk, info@haball.pk",haball.pk,https://haball.pk/careers,
HBL,Karachi,Karachi,careers@hbl.com,company website,"hr@hbl.com, customer.care@hbl.com, roshan.complaints@hbl.com, ebanc.roshanaccount@hbl.com, qazi.sibghatullah@hbl.com, fasih.rehman1@hbl.com, customer.complaints@hbl.com",hbl.com,https://hbl.com/careers,
Homeshopping,Karachi,Karachi,careers@homeshopping.pk,company website,hr@homeshopping.pk,homeshopping.pk,https://homeshopping.pk/careers,
i2c,Karachi,Karachi,careers@i2cinc.com,company website,"hr@i2cinc.com, connect@i2cinc.com",i2cinc.com,https://i2cinc.com/careers,
Keenu,Karachi,Karachi,careers@keenu.pk,company website,"hr@keenu.pk, help@keenu.pk, customercare@keenu.pk",keenu.pk,https://keenu.pk/careers,
KoderLabs,Karachi,Karachi,careers@koderlabs.com,company website,"hr@koderlabs.com, contact@koderlabs.com",koderlabs.com,https://koderlabs.com/careers,
M&P,Karachi,Karachi,careers@mulphilog.com,company website,"hr@mulphilog.com, contact@mulphilog.com, info@mulphilog.com",mulphilog.com,https://mulphilog.com/careers,
Meezan Bank,Karachi,Karachi,careers@meezanbank.com,company website,"hr@meezanbank.com, complaints@meezanbank.com, faiza.sajjad@meezanbank.com",meezanbank.com,https://meezanbank.com/careers,
Motive,Karachi,Karachi / remote,careers@gomotive.com,known company contact,info@gomotive.com,gomotive.com,https://gomotive.com/careers,
Mustakbil,Karachi,Karachi,careers@mustakbil.com,company website,hr@mustakbil.com,mustakbil.com,https://mustakbil.com/careers,
NayaPay,Karachi,Karachi,careers@nayapay.com,company website,hr@nayapay.com,nayapay.com,https://nayapay.com/careers,
NorthBay Solutions,Karachi,Karachi,careers@northbaysolutions.com,company website,"hr@northbaysolutions.com, info@northbaysolutions.com",northbaysolutions.com,https://northbaysolutions.com/careers,
Ovex Technologies,Karachi,Karachi,careers@ovextech.com,company website,"hr@ovextech.com, info@ovextech.com",ovextech.com,https://ovextech.com/careers,
Retailo,Karachi,Karachi,careers@retailo.co,company website,"hr@retailo.co, ideas@retailo.co, info@retailo.co",retailo.co,https://retailo.co/careers,
SadaPay,Karachi,Pakistan,careers@sadapay.pk,known company contact,hello@sadapay.pk,sadapay.pk,https://sadapay.pk/jobs-listing/full-stack-product-engineer,Full Stack Product Engineer Apply 100% remote Full-time Part-time Karachi (preferred) | Remote (considered) Apply
Salsoft Technologies,Karachi,Karachi,careers@salsoft.net,company website,"hr@salsoft.net, info@salsoft.net, connecthr@salsoft.net",salsoft.net,https://salsoft.net/careers,
Softech Worldwide,Karachi,Karachi,careers@softechworldwide.com,company website,"hr@softechworldwide.com, jhernandez@softechworldwide.com",softechworldwide.com,https://softechworldwide.com/careers,
Strategic Systems International,Karachi,Karachi,careers@ssidecisions.com,company website,hr@ssidecisions.com,ssidecisions.com,https://ssidecisions.com/careers,
Systems Limited,Karachi,Karachi,careers@systemsltd.com,company website,"hr@systemsltd.com, investor_relations@systemsltd.com, fayez.qamar@systemsltd.com",systemsltd.com,https://systemsltd.com/careers,
Turing,Karachi,Remote / PK,careers@turing.com,known company contact,"partnerships@turing.com, bugbounty@turing.com",turing.com,https://turing.com/careers,
VentureDive,Karachi,Karachi,careers@venturedive.com,known company contact,hr@venturedive.com,venturedive.com,https://venturedive.applytojob.com/apply/Kvd4hJout1/AI-Engineer-Agentic-Frameworks-LLMs,AI Engineer - Agentic Frameworks & LLMs
Airtable,Pakistan,Anywhere in the World,hr@airtable.com,job posting,,,https://weworkremotely.com/remote-jobs/airtable-software-engineer-infrastructure-8-yoe,"Software Engineer, Infrastructure (8+ YOE)"
