Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
Doha Bank,Qatar,Doha,careers@dohabank.com.qa,company website,"hellodoha@dohabank.com.qa, hr@dohabank.com.qa",dohabank.com.qa,https://dohabank.com.qa/careers,
Malomatia,Qatar,Doha,careers@malomatia.com,company website,"info@malomatia.com, hr@malomatia.com",malomatia.com,https://malomatia.com/careers,
Mannai,Qatar,Doha,careers@mannai.com,company website,"recruitment@mannai.com.qa, hr@mannai.com",mannai.com,https://mannai.com/careers,
Masraf Al Rayan,Qatar,Doha,careers@alrayan.com,company website,"ari.info@alrayan.com, u003eari.info@alrayan.com, ir@alrayan.com, u003eir@alrayan.com, shareholdersaffairs@alrayan.com, u003eshareholdersaffairs@alrayan.com, tony.merhej@alrayan.com, wecare@alrayan.com, u003ewecare@alrayan.com, hr@alrayan.com",alrayan.com,https://alrayan.com/careers,
Meeza,Qatar,Doha,careers@meeza.net,company website,"investors@meeza.net, info@meeza.net, hr@meeza.net",meeza.net,https://meeza.net/careers,
Sidra Medicine Digital,Qatar,Doha,careers@sidra.org,company website,"international.services@sidra.org, patientfeedback@sidra.org, hr@sidra.org",sidra.org,https://sidra.org/careers,
Almoayyed Computers,Bahrain,Manama,careers@almoayyed.com,company website,"hr@almoayyed.com, jobs@almoayyed.com, crm@almoayyed.com",almoayyed.com,https://almoayyed.com/careers,
Fakhro Electronics,Bahrain,Manama,careers@fakhro.com,company website,"info@fakhro.com, hr@fakhro.com",fakhro.com,https://fakhro.com/careers,
Investcorp,Bahrain,Manama,careers@investcorp.com,company website,"corpcomms@investcorp.com, investorrelations@investcorp.com, reportcyberfraud@investcorp.com, info@investcorp.com, clientcomplaintsofficer@investcorp.com, hr@investcorp.com",investcorp.com,https://investcorp.com/careers,
Tarabut,Bahrain,Manama / remote,careers@tarabut.com,company website,"info@tarabut.com, hr@tarabut.com",tarabut.com,https://tarabut.com/careers,
Tenmou,Bahrain,Manama,careers@tenmou.me,company website,"info@tenmou.me, hr@tenmou.me",tenmou.me,https://tenmou.me/careers,
Boubyan Digital,Kuwait,Kuwait City,info-boubyan@boubyan.com,company website,,boubyan.com,https://boubyan.com/careers,
NBK Digital,Kuwait,Kuwait,careers@nbk.com,company website,"hr@nbk.com, yourcareer@nbk.com.eg",nbk.com,https://nbk.com/careers,
Bank Muscat Digital,Oman,Muscat,careers@bankmuscat.com,company website,"care@bankmuscat.com, hr@bankmuscat.com",bankmuscat.com,https://bankmuscat.com/careers,
Oman Arab Bank Digital,Oman,Muscat,careers@oman-arabbank.com,company website,"hr@oman-arabbank.com, career@oman-arabbank.com",oman-arabbank.com,https://oman-arabbank.com/careers,
Omantel,Oman,Muscat,careers@omantel.om,company website,"self.service@omantel.om, u003ebusiness@omantel.om, hr@omantel.om",omantel.om,https://omantel.om/careers,
Ooredoo Oman,Oman,Muscat,careers@ooredoo.om,company website,"b2boutbound@ooredoo.om, hr@ooredoo.om",ooredoo.om,https://ooredoo.om/careers,
AIQ,UAE,Abu Dhabi,careers@aiq.com,company website,"hr@aiq.com, partnerships@aiq.com",aiq.com,https://aiq.com/careers,
Alaan,UAE,Dubai / remote,careers@alaan.com,company website,hr@alaan.com,alaan.com,https://alaan.com/careers,
Barakat,UAE,Dubai,careers@barakatfresh.ae,company website,"info@barakatfresh.ae, hr@barakatfresh.ae",barakatfresh.ae,https://barakatfresh.ae/careers,
Beehive,UAE,Dubai / remote,careers@beehive.ae,company website,"info@beehive.ae, sme@beehive.ae, investors@beehive.ae, hr@beehive.ae",beehive.ae,https://beehive.ae/careers,
Botim,UAE,Dubai / remote,careers@botim.me,company website,"customerservice@botim.me, contact@botim.me, hr@botim.me",botim.me,https://botim.me/careers,
Cartlow,UAE,Dubai / remote,careers@cartlow.com,company website,"hello@cartlow.com, hr@cartlow.com",cartlow.com,https://cartlow.com/careers,
Checkout.com,UAE,Dubai / remote,careers@checkout.com,known + company website,"pr@checkout.com, yourpayments@checkout.com, talent.acquisition@checkout.com",checkout.com,https://checkout.com/careers,
G42,UAE,Abu Dhabi / remote,careers@g42.ai,company website,"contact@g42.ai, hr@g42.ai",g42.ai,https://g42.ai/careers,
Kitopi,UAE,Dubai / remote,careers@kitopi.com,company website,"hr@kitopi.com, info@kitopi.com, nouha@kitopi.com",kitopi.com,https://kitopi.com/careers,
Magnitt,UAE,Dubai / remote,careers@magnitt.com,company website,"hr@magnitt.com, info@magnitt.com",magnitt.com,https://magnitt.com/careers,
MBC Group / Shahid,UAE,Dubai,careers@mbc.net,company website,"care@mbc.net, contact@mbc.net, investor.relations@mbc.net, hr@mbc.net",mbc.net,https://mbc.net/careers,
