targets 260
  [1] HIT Paktor                       careers@paktor.com
  [2] HIT PatSnap                      careers@patsnap.com
  [3] HIT ShopBack                     careers@shopback.com
  [4] HIT FinAccel                     careers@finaccel.com
  [5] HIT MatchMove                    careers@matchmove.com
  [6] HIT Circles.Life                 careers@circles.life
  [7] HIT Atome                        careers@atome.sg
  [8] HIT Carro                        careers@carro.co
  [9] HIT PropertyGuru                 careers@propertyguru.com
  [10] HIT Razer                        careers@razer.com
  [11] HIT Foodpanda APAC               careers@foodpanda.com
  [12] HIT Secretlab                    careers@secretlab.co
  [13] HIT Zalora                       careers@zalora.com
  [14] HIT Validus                      careers@validus.sg
  [15] HIT Deputy                       careers@deputy.com
  [16] HIT Advance.AI                   careers@advance.ai
  [17] HIT Campaign Monitor             careers@campaignmonitor.com
  [18] HIT Fazz                         careers@fazz.com
  [19] HIT Wisetech Global              careers@wisetechglobal.com
  [20] HIT StraitsX                     careers@straitsx.com
  [21] HIT Culture Amp                  careers@cultureamp.com
  [22] HIT Airwallex                    careers@airwallex.com
  [23] HIT Expert360                    careers@expert360.com
  [24] HIT TechnologyOne                careers@technologyonecorp.com
  [25] HIT SEEK                         careers@seek.com.au
  [26] HIT Afterpay                     careers@afterpay.com
  [27] HIT REA Group                    careers@rea-group.com
  [28] HIT SafetyCulture                careers@safetyculture.com
  [29] HIT Lazada                       careers@lazada.com
  [30] HIT Employment Hero              careers@employmenthero.com
  [31] HIT Culture Amp AU               careers@cultureamp.com
  [32] HIT Linktree                     careers@linktr.ee
  [33] HIT Linktree AU                  careers@linktr.ee
  [34] HIT Zip Co                       careers@zip.co
  [35] HIT Campaign Monitor AU          careers@campaignmonitor.com
  [36] HIT SafetyCulture AU             careers@safetyculture.com
  [37] HIT NextDC                       careers@nextdc.com
  [38] HIT Deputy AU                    careers@deputy.com
  [39] HIT Airwallex AU                 careers@airwallex.com
  [40] HIT MYOB                         careers@myob.com
  [41] HIT Expert360 AU                 careers@expert360.com
