Title,Company,Work Mode,Location,Location Fit,Pakistan Friendly,URL,Source,Company Domain,HR / Recruiter Email,Email Source
DESARROLLADOR FULL STACK,Kruger NearShore LLC - Rekluti,remote,Remote,Worldwide remote,Yes,https://remoteOK.com/remote-jobs/remote-desarrollador-full-stack-kruger-nearshore-llc-rekluti-1137062,RemoteOK,,,
Consultant Implementation Engineer,Harbor,remote,Remote,Worldwide remote,Yes,https://remoteOK.com/remote-jobs/remote-consultant-implementation-engineer-harbor-1136987,RemoteOK,,,
"Senior Manager, QA Engineering",Camunda,remote,Remote,Worldwide remote,Yes,https://www.arbeitnow.com/jobs/companies/camunda/remote-senior-manager-qa-engineering-194334,Arbeitnow,,,
"AI Automations Engineer Apply 100% remote Full-time Part-time Islamabad, Lahore, Karachi, Remote Apply",SadaPay,remote,Pakistan,Karachi remote,Yes,https://sadapay.pk/jobs-listing/ai-automations-engineer,SadaPay,sadapay.pk,careers@sadapay.pk,known company contact
Full Stack Product Engineer Apply 100% remote Full-time Part-time Karachi (preferred) | Remote (considered) Apply,SadaPay,remote,Pakistan,Karachi remote,Yes,https://sadapay.pk/jobs-listing/full-stack-product-engineer,SadaPay,sadapay.pk,careers@sadapay.pk,known company contact
Senior IT Infrastructure Engineer II,Careem,remote,"Karachi, Pakistan",Karachi remote,Yes,https://boards.greenhouse.io/careem/jobs/8620488002?gh_jid=8620488002,Greenhouse/Careem,careem.com,careers@careem.com,known company contact
Senior Security Engineer II,Careem,remote,"Karachi, Pakistan",Karachi remote,Yes,https://boards.greenhouse.io/careem/jobs/8620290002?gh_jid=8620290002,Greenhouse/Careem,careem.com,careers@careem.com,known company contact
Senior Software Engineer I,Careem,remote,"Karachi, Pakistan; Lahore, Pakistan",Karachi remote,Yes,https://boards.greenhouse.io/careem/jobs/8682543002?gh_jid=8682543002,Greenhouse/Careem,careem.com,careers@careem.com,known company contact
Senior Software Engineer I - Backend,Careem,remote,"Amman, Jordan; Islamabad, Pakistan; Karachi, Pakistan; Lahore, Pakistan",Karachi remote,Yes,https://boards.greenhouse.io/careem/jobs/8620291002?gh_jid=8620291002,Greenhouse/Careem,careem.com,careers@careem.com,known company contact
Software Engineer I ,Careem,remote,"Karachi, Pakistan; Lahore, Pakistan",Karachi remote,Yes,https://boards.greenhouse.io/careem/jobs/7107610002?gh_jid=7107610002,Greenhouse/Careem,careem.com,careers@careem.com,known company contact
Software Engineer II - Backend | NextGen Engineering,Careem,remote,"Lahore, Pakistan",Pakistan remote,Yes,https://boards.greenhouse.io/careem/jobs/7004825002?gh_jid=7004825002,Greenhouse/Careem,careem.com,careers@careem.com,known company contact
"Integration Engineer, Metronome",Stripe,remote,Remote,Worldwide remote,Yes,https://stripe.com/jobs/search?gh_jid=8080454,Greenhouse/Stripe,stripe.com,,
Senior Site Reliability Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149557-senior-site-reliability-engineer-5,Jobicy,canonical.com,,
Ubuntu Security Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149565-ubuntu-security-engineer,Jobicy,canonical.com,,
Software Engineering Director,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149571-software-engineering-director,Jobicy,canonical.com,,
Engineering Manager,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149575-engineering-manager,Jobicy,canonical.com,,
Senior/Staff/Principal Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149522-senior-staff-principal-engineer,Jobicy,canonical.com,,
"Web Frontend Engineer - JS, CSS, React, Flutter",Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149527-web-frontend-engineer-js-css-react-flutter,Jobicy,canonical.com,,
Security Software Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149550-security-software-engineer,Jobicy,canonical.com,,
Sr. Software Engineer,Socket,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/151128-sr-software-engineer,Jobicy,,,
Software engineer,Sticker Mule,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/150846-software-engineer-3,Jobicy,stickermule.com,,
"Python and Kubernetes Software Engineer - Data, Workflows, AI/ML & Analytics",Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149563-python-and-kubernetes-software-engineer-data-workflows-ai-ml-analytics,Jobicy,canonical.com,,
Python Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149543-python-engineer,Jobicy,canonical.com,,
"Distributed Systems Testing Software Engineer, Python / Go",Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/151013-distributed-systems-testing-software-engineer-python-go,Jobicy,canonical.com,,
Engineering Manager - Solutions Engineering,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149556-engineering-manager-solutions-engineering,Jobicy,canonical.com,,
Microservices Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149558-microservices-engineer,Jobicy,canonical.com,,
Lead Linux Kernel Engineer - Ubuntu,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149562-lead-linux-kernel-engineer-ubuntu,Jobicy,canonical.com,,
Software Engineer - Solutions Engineering,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149560-software-engineer-solutions-engineering,Jobicy,canonical.com,,
Engineering Manager - Data Platform,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149561-engineering-manager-data-platform,Jobicy,canonical.com,,
Rust Engineering Lead - Linux and Open Source,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149566-rust-engineering-lead-linux-and-open-source,Jobicy,canonical.com,,
Engineering Manager - Ubuntu Security,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149572-engineering-manager-ubuntu-security,Jobicy,canonical.com,,
Cloud Engineering Manager,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149569-cloud-engineering-manager,Jobicy,canonical.com,,
Cloud Solutions Architect - Alliances,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149568-cloud-solutions-architect-alliances,Jobicy,canonical.com,,
Containerization & Virtualisation Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149576-containerization-virtualisation-engineer,Jobicy,canonical.com,,
Linux Platform Integration - Ubuntu Systems Senior Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149574-linux-platform-integration-ubuntu-systems-senior-engineer,Jobicy,canonical.com,,
OpenStack Engineering Manager,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149573-openstack-engineering-manager,Jobicy,canonical.com,,
Senior Security Operations Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149578-senior-security-operations-engineer,Jobicy,canonical.com,,
Junior Linux Kernel Engineer - Ubuntu,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149520-junior-linux-kernel-engineer-ubuntu,Jobicy,canonical.com,,
Cloud Field Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149523-cloud-field-engineer,Jobicy,canonical.com,,
Engineering Manager - MLOps & Analytics,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149521-engineering-manager-mlops-analytics,Jobicy,canonical.com,,
"Engineering Manager, Managed Services",Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149528-engineering-manager-managed-services,Jobicy,canonical.com,,
"Software Engineer, Sustaining Engineering",Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149524-software-engineer-sustaining-engineering,Jobicy,canonical.com,,
Solution Architecture Manager,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149531-solution-architecture-manager,Jobicy,canonical.com,,
Ubuntu Linux Kernel Engineer - Silicon Enablement,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149533-ubuntu-linux-kernel-engineer-silicon-enablement,Jobicy,canonical.com,,
Sustaining Operations Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149532-sustaining-operations-engineer,Jobicy,canonical.com,,
Embedded Linux Field Engineer for Devices/IoT,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149535-embedded-linux-field-engineer-for-devices-iot,Jobicy,canonical.com,,
Alliances Field Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149534-alliances-field-engineer,Jobicy,canonical.com,,
Ubuntu Engineering Lead,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149537-ubuntu-engineering-lead,Jobicy,canonical.com,,
Golang Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149538-golang-engineer-2,Jobicy,canonical.com,,
Site Reliability Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149547-site-reliability-engineer,Jobicy,canonical.com,,
Senior Site Reliability / Gitops Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149544-senior-site-reliability-gitops-engineer,Jobicy,canonical.com,,
Technical Manager - Automotive and Industrial,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149546-technical-manager-automotive-and-industrial,Jobicy,canonical.com,,
Ubuntu Sales Engineer (Entry-Level),Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149545-ubuntu-sales-engineer-entry-level,Jobicy,canonical.com,,
Cloud Professional Services Manager,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149548-cloud-professional-services-manager,Jobicy,canonical.com,,
Performance Engineer - Open Source,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149551-performance-engineer-open-source,Jobicy,canonical.com,,
Software Engineer - App Stores,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149552-software-engineer-app-stores,Jobicy,canonical.com,,
Site Reliability / Gitops Engineer,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149553-site-reliability-gitops-engineer,Jobicy,canonical.com,,
Senior Full Stack Engineer — Platform Extensions,Fueled,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/151043-senior-full-stack-engineer-platform-extensions,Jobicy,,jobs@fueled.com,job posting
Support Engineering Manager,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149554-support-engineering-manager,Jobicy,canonical.com,,
Engineering Manager - Ubuntu Linux Kernel,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149570-engineering-manager-ubuntu-linux-kernel,Jobicy,canonical.com,,
Engineering Manager - AppArmor,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149526-engineering-manager-apparmor,Jobicy,canonical.com,,
Engineering Manager - Security Standards and Hardening,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149536-engineering-manager-security-standards-and-hardening,Jobicy,canonical.com,,
Devices & IOT Field Engineering Manager,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/150274-devices-iot-field-engineering-manager-americas,Jobicy,canonical.com,,
AEM and Adobe Target Architect,Vonage,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/151353-aem-and-adobe-target-architect,Jobicy,,,
Contract Senior Web Engineer,Fueled,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/150885-contract-senior-web-engineer,Jobicy,,jobs@fueled.com,job posting
Contract Senior Front End Engineer,Fueled,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/150883-contract-senior-front-end-engineer,Jobicy,,jobs@fueled.com,job posting
Don’t see what you’re looking for?,RelationalAI,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/151468-dont-see-what-youre-looking-for,Jobicy,,,
Embedded & Desktop Linux Systems Engineer - Optimisation,Canonical,remote,Anywhere,Worldwide remote,Yes,https://jobicy.com/jobs/149567-embedded-desktop-linux-systems-engineer-optimisation,Jobicy,canonical.com,,
Backend Python/Django,10Pearls,remote,Remote,Worldwide remote,Yes,https://10pearls.applytojob.com/apply/aNEYRjfKar/Backend-PythonDjango,JazzHR/10Pearls,10pearls.com,careers@10pearls.com,known company contact
Frontend React/Ember,10Pearls,remote,Remote,Worldwide remote,Yes,https://10pearls.applytojob.com/apply/KqDYKxUH4p/Frontend-ReactEmber,JazzHR/10Pearls,10pearls.com,careers@10pearls.com,known company contact
Product Manager (AI Products) - Morning/Afternoon Shift,10Pearls,remote,"Karachi, Islamabad, Karachi, Islamabad, Pakistan",Karachi remote,Yes,https://10pearls.applytojob.com/apply/eYaJRx6Uhq/Product-Manager-AI-Products-MorningAfternoon-Shift,JazzHR/10Pearls,10pearls.com,careers@10pearls.com,known company contact
Senior Desktop Support Engineer,10Pearls,remote,"Islamabad, Pakistan",Pakistan remote,Yes,https://10pearls.applytojob.com/apply/3jbnEGJNrN/Senior-Desktop-Support-Engineer,JazzHR/10Pearls,10pearls.com,careers@10pearls.com,known company contact
Senior Software Security Engineer - Afternoon Shift,10Pearls,remote,"Lahore, Karachi, Islamabad, Pakistan",Karachi remote,Yes,https://10pearls.applytojob.com/apply/Q8WZP2B1aK/Senior-Software-Security-Engineer-Afternoon-Shift,JazzHR/10Pearls,10pearls.com,careers@10pearls.com,known company contact
Software Consultant - .Net+Redis - Morning Shift,10Pearls,remote,"Lahore, Karachi, Pakistan",Karachi remote,Yes,https://10pearls.applytojob.com/apply/uzHZ84QaX6/Software-Consultant-NetRedis-Morning-Shift,JazzHR/10Pearls,10pearls.com,careers@10pearls.com,known company contact
Software Consultant - IBM SOA,10Pearls,remote,"Lahore, Karachi, Islamabad, Pakistan",Karachi remote,Yes,https://10pearls.applytojob.com/apply/QrqBkrh96D/Software-Consultant-IBM-SOA,JazzHR/10Pearls,10pearls.com,careers@10pearls.com,known company contact
Staff/Senior Software Consultant - Elixir,10Pearls,remote,"Lahore, Karachi, Islamabad, Pakistan",Karachi remote,Yes,https://10pearls.applytojob.com/apply/5HoyMvsu35/StaffSenior-Software-Consultant-Elixir,JazzHR/10Pearls,10pearls.com,careers@10pearls.com,known company contact
Staff/Senior Software Consultant - Java + AWS - Evening Shift,10Pearls,remote,"Karachi, Lahore, Islamabad, Pakistan",Karachi remote,Yes,https://10pearls.applytojob.com/apply/wZfSpfCGyX/StaffSenior-Software-Consultant-Java-AWS-Evening-Shift,JazzHR/10Pearls,10pearls.com,careers@10pearls.com,known company contact
Senior Software Engineer - Kotlin,VentureDive,remote,Pakistan,Pakistan remote,Yes,https://venturedive.applytojob.com/apply/OERjuv1vN3/Senior-Software-Engineer-Kotlin,JazzHR/VentureDive,venturedive.com,careers@venturedive.com,known company contact
Senior Data & AI Architect,VentureDive,remote,Pakistan,Pakistan remote,Yes,https://venturedive.applytojob.com/apply/6yA1hAbMr4/Senior-Data-AI-Architect,JazzHR/VentureDive,venturedive.com,careers@venturedive.com,known company contact
Senior Data Engineer,VentureDive,remote,Pakistan,Pakistan remote,Yes,https://venturedive.applytojob.com/apply/xG8devfbV1/Senior-Data-Engineer,JazzHR/VentureDive,venturedive.com,careers@venturedive.com,known company contact
AI Engineer - Agentic Frameworks & LLMs,VentureDive,remote,Pakistan,Pakistan remote,Yes,https://venturedive.applytojob.com/apply/Kvd4hJout1/AI-Engineer-Agentic-Frameworks-LLMs,JazzHR/VentureDive,venturedive.com,careers@venturedive.com,known company contact
Senior AI Engineer,VentureDive,remote,Pakistan,Pakistan remote,Yes,https://venturedive.applytojob.com/apply/lyD1I7bDtj/Senior-AI-Engineer,JazzHR/VentureDive,venturedive.com,careers@venturedive.com,known company contact
Senior Data Scientist,VentureDive,remote,Pakistan,Pakistan remote,Yes,https://venturedive.applytojob.com/apply/pd35cOU3Vr/Senior-Data-Scientist,JazzHR/VentureDive,venturedive.com,careers@venturedive.com,known company contact
