company,domain,city,email,type,already_sent,smtp_ok,smtp_detail,other_published_emails
10Pearls,10pearls.com,Karachi,careers@10pearls.com,hrish,yes,no,"10pearls-com.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Client host [39.57.38.103] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/39.57.38.103 AS(14","info@10pearls.com, sahar.afzal@10pearls.com"
VentureDive,venturedive.com,Karachi,careers@venturedive.com,hrish,yes,yes,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482a5b856c5si7131686f8f.364 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-chec",
VentureDive,venturedive.com,Karachi,hr@venturedive.com,hrish,yes,no,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, ",
Cubix,cubix.co,Karachi,hr@cubixlabs.com,hrish,yes,yes,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482a5a7fd8asi7448471f8f.224 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-chec",info@cubix.co
SadaPay,sadapay.pk,Karachi,careers@sadapay.pk,hrish,yes,no,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, ",hello@sadapay.pk
Careem,careem.com,Karachi / Dubai,careers@careem.com,hrish,yes,yes,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482a5a18fb1si7498814f8f.126 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-chec",
NayaPay,nayapay.com,Karachi,careers@nayapay.com,hrish,yes,no,"nayapay.in.tmes.trendmicro.com rcpt 550 b'5.7.1 <careers@nayapay.com>: Recipient address rejected: Mail from <39.57.38.103> was refused due to the sender IP found in ERS-DUL. For details, query the IP reputation on https",
Contour Software,contour-software.com,Karachi,careers@contour-software.com,hrish,yes,no,catch-all mx: mx0a-002d2f01.pphosted.com rcpt 250 b'2.1.5 Recipient ok' | fake:mx0a-002d2f01.pphosted.com rcpt 250 b'2.1.5 Recipient ok',info@contour-software.com
Strategic Systems International,ssidecisions.com,Karachi,hr@ssidecisions.com,hrish,yes,no,"ssidecisions-com.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Client host [39.57.38.103] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/39.57.38.103 A",
Salsoft Technologies,salsoft.net,Karachi,connecthr@salsoft.net,hrish,yes,no,"salsoft-net.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Client host [39.57.38.103] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/39.57.38.103 AS(145",info@salsoft.net
Salsoft Technologies,salsoft.net,Karachi,hr@salsoft.net,hrish,yes,no,"salsoft-net.mail.protection.outlook.com rcpt 550 b'5.7.1 Service unavailable, Client host [39.57.38.103] blocked using Spamhaus. To request removal from this list see https://www.spamhaus.org/query/ip/39.57.38.103 AS(145",info@salsoft.net
Motive,gomotive.com,Karachi / remote,careers@gomotive.com,hrish,yes,no,catch-all mx: aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482a5b8e5e3si9698475f8f.495 - gsmtp' | fake:aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482a5a7fe5bsi7698970f8f.155 - gsmtp',info@gomotive.com
Turing,turing.com,Remote / PK,careers@turing.com,hrish,yes,no,catch-all mx: aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482a5a7ff22si7387397f8f.208 - gsmtp' | fake:aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-482a5a7fdd9si9133393f8f.141 - gsmtp',
i2c,i2cinc.com,Karachi,careers@i2cinc.com,hrish,yes,no,cache probe-blocked,connect@i2cinc.com
Dawaai,dawaai.pk,Karachi,careers@dawaai.pk,hrish,no,no,cache catch-all,pharmacy@dawaai.pk
Soneri Bank Digital,soneribank.com,Karachi,bahriacomplex3.khi@soneribank.com,hrish,no,no,"soneribank.in.tmes-sg.trendmicro.com rcpt 550 b'5.7.1 <bahriacomplex3.khi@soneribank.com>: Recipient address rejected: Mail from <39.57.38.103> was refused due to the sender IP found in ERS-DUL. For details, query the IP","249bck.staff@soneribank.com, ahmed.khalil@soneribank.com, arif.zia@soneribank.com, centralized.remittance@soneribank.com, cmd@soneribank.com, complaint.suggestion@soneribank.com"
