checked_at,company,email,status,detail
2026-08-10T16:31:16+00:00,Ajax Systems,careers@ajax.systems,bounce,550 5.1.1 mailbox does not exist (Gmail DSN)
2026-08-10T16:31:44+00:00,Alan,careers@alan.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-481309"
2026-08-10T16:33:06+00:00,Dynatrace,emeainfo@dynatrace.com,bounce,"us-smtp-inbound-1.mimecast.com rcpt 550 b'zen.mimecast.org Listed by PBL, see https://check.spamhaus.org/query/ip/110.38.250.152. Listed by XBL, see https://check.spamhaus.org/query/ip/110.38.250.152. Listed by CSS, see https://check.spamhaus.org/query/ip/110.38.250.152. - https://community.mimecast"
2026-08-10T16:33:32+00:00,N26,careers@n26.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-480022"
2026-08-10T16:33:34+00:00,Nexthink,careers@nexthink.com,bounce,nexthink-com.mail.protection.outlook.com rcpt 550 b'5.4.1 Recipient address rejected: Access denied. For more information see https://aka.ms/EXOSmtpErrors [AMS1EPF00000049.eurprd04.prod.outlook.com 2026-08-10T16:33:33.702Z 08DEF405A65B949F]'
2026-08-11T04:29:12+00:00,Jobandtalent,careers@jobandtalent.com,bounce,Gmail DSN 550 mailbox does not exist
2026-08-11T04:30:04+00:00,Wefox,careers@wefox.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a5"
2026-08-11T05:39:55+00:00,Hala,careers@halacards.com,bounce,"mx1.hostinger.com rcpt 550 b""5.1.1 <careers@halacards.com>: Recipient address rejected: undeliverable address: host fr-int-smtpin38.hostinger.io[private/dovecot-lmtp] said: 550 5.1.1 <careers@halacards.com> User doesn't exist: careers@halacards.com (in reply to RCPT TO command)"" | fake:mx1.hostinger"
2026-08-11T05:51:44+00:00,Askari Bank,careers@askaribank.com,bounce,smtp2.askaribank.com.pk rcpt 550 b'5.1.1 <careers@askaribank.com>... User unknown' | fake:smtp2.askaribank.com.pk rcpt 550 b'5.1.1 <no-mailbox-0yoidw7zb57r@askaribank.com>... User unknown'
2026-08-11T05:53:10+00:00,Gaditek,careers@gaditek.com,bounce,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4814a7"
