checked_at,email,status,detail
2026-08-10T16:31:16+00:00,careers@ajax.systems,invalid,550 5.1.1 mailbox does not exist (Gmail DSN)
2026-08-10T16:31:17+00:00,careers@botim.me,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48002247b1esi19548053f8f.261 - gsmtp'
2026-08-10T16:31:19+00:00,hello@cartlow.com,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48002168963si20527965f8f.114 - gsmtp'
2026-08-10T16:31:20+00:00,careers@adevinta.com,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48002167bcesi25126093f8f.117 - gsmtp'
2026-08-10T16:31:22+00:00,careers@aiven.io,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4800226e04fsi19282041f8f.466 - gsmtp'
2026-08-10T16:31:24+00:00,recruitment@bayzat.com,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48002235064si18639469f8f.219 - gsmtp'
2026-08-10T16:31:26+00:00,careers@deliveryhero.com,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4800223606asi22893960f8f.151 - gsmtp'
2026-08-10T16:31:44+00:00,careers@alan.com,invalid,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-481309"
2026-08-10T16:31:44+00:00,careers@alan.com,invalid,"aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-481309"
2026-08-10T16:31:46+00:00,partners@algolia.com,valid,alt1.aspmx.l.google.com rcpt 250 b'2.1.5 OK 4fb4d7f45d1cf-6a1e7dba171si8712242a12.277 - gsmtp'
2026-08-10T16:31:48+00:00,info@auto1-group.com,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48130949fc7si15876873f8f.190 - gsmtp'
2026-08-10T16:31:49+00:00,hello@bunny.net,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48002234d95si19694915f8f.147 - gsmtp'
2026-08-10T16:31:51+00:00,info@celonis.com,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48002234dfesi19838463f8f.166 - gsmtp'
2026-08-10T16:31:52+00:00,people.ops@contentsquare.com,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4800215988asi18804030f8f.25 - gsmtp'
2026-08-10T16:32:57+00:00,recruiting@crowdstrike.com,valid,mxa-00206402.gslb.pphosted.com rcpt 250 b'2.1.5 Recipient ok'
2026-08-10T16:32:59+00:00,block@deepl.com,valid,smtp.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48002257c7bsi18969168f8f.391 - gsmtp'
2026-08-10T16:33:01+00:00,careers@doist.com,valid,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48146f7e3a6si178007f8f.104 - gsmtp'
2026-08-10T16:33:05+00:00,emeainfo@dynatrace.com,invalid,"us-smtp-inbound-1.mimecast.com rcpt 550 b'zen.mimecast.org Listed by PBL, see https://check.spamhaus.org/query/ip/110.38.250.152. Listed by XBL, see https://check.spamhaus.org/query/ip/110.38.250.152. Listed by CSS, see https://check.spamhaus.org/query/ip/110.38.250.152. - https://community.mimecast"
