Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Catch,Australia,Melbourne,careers@catch.com.au,guessed pattern (verify before sending),,catch.com.au,https://catch.com.au/careers,,mxa-006cc501.gslb.pphosted.com rcpt 250 b'2.1.5 Recipient ok' | fake:mxa-006cc501.gslb.pphosted.com rcpt 550 b'5.1.1 User Unknown'
Pet Circle,Australia,Sydney,hr@petcircle.com.au,guessed pattern (verify before sending),,petcircle.com.au,https://petcircle.com.au/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f23686dsi15818198f8f.82 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f3396"
Appsheet,Europe,Tel Aviv,careers@appsheet.com,guessed pattern (verify before sending),,appsheet.com,https://appsheet.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31ecb3si14720955f8f.328 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f31c"
Collibra,Europe,Brussels,careers@collibra.com,guessed pattern (verify before sending),,collibra.com,https://collibra.com/careers,,"ASPMX.L.GOOGLE.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f344050si14272452f8f.452 - gsmtp' | fake:ASPMX.L.GOOGLE.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
Forter,Europe,Tel Aviv,jobs@forter.com,guessed pattern (verify before sending),,forter.com,https://forter.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31dc4bsi15545513f8f.319 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f33a"
GameAnalytics,Europe,Copenhagen,careers@gameanalytics.com,guessed pattern (verify before sending),,gameanalytics.com,https://gameanalytics.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31ecbesi15619803f8f.327 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f355"
HoneyBook,Europe,Tel Aviv,careers@honeybook.com,guessed pattern (verify before sending),,honeybook.com,https://honeybook.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f318b76si15503049f8f.291 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
Lemonade,Europe,Tel Aviv,jobs@lemonade.com,guessed pattern (verify before sending),,lemonade.com,https://lemonade.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f3002f7si15520561f8f.161 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f2f9"
Playrix,Europe,Dublin,hr@playrix.com,guessed pattern (verify before sending),,playrix.com,https://playrix.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f333e90si14730440f8f.388 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f24d"
Plus500,Europe,Tel Aviv,careers@plus500.com,guessed pattern (verify before sending),,plus500.com,https://plus500.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2f9c0dsi15352138f8f.228 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
ActionIQ,Remote,Worldwide,hr@actioniq.com,guessed pattern (verify before sending),,actioniq.com,https://actioniq.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f236dacsi15527316f8f.34 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f30f1"
