Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Cal.com,Europe,Europe / remote,hr@cal.com,guessed pattern (verify before sending),hr@cal.com,cal.com,https://cal.com/careers,,cache strict-valid
Cleo,Europe,London / remote,talent@meetcleo.com,guessed pattern (verify before sending),hr@meetcleo.com,meetcleo.com,https://meetcleo.com/careers,,cache strict-valid
Dashlane,Europe,Paris / remote,talent@dashlane.com,guessed pattern (verify before sending),hr@dashlane.com,dashlane.com,https://dashlane.com/careers,,cache strict-valid
Deezer,Europe,Paris / remote,talent@deezer.com,guessed pattern (verify before sending),hr@deezer.com,deezer.com,https://deezer.com/careers,,cache strict-valid
Doctolib,Europe,Paris / remote,hr@doctolib.com,guessed pattern (verify before sending),hr@doctolib.com,doctolib.com,https://doctolib.com/careers,,cache strict-valid
Doctrine,Europe,Paris / remote,hr@doctrine.fr,guessed pattern (verify before sending),hr@doctrine.fr,doctrine.fr,https://doctrine.fr/careers,,cache strict-valid
Ecosia,Europe,Berlin / remote,jobs@ecosia.org,guessed pattern (verify before sending),hr@ecosia.org,ecosia.org,https://ecosia.org/careers,,cache strict-valid
Framer,Europe,Amsterdam / remote,hello@framer.com,company website,"hr@framer.com, abuse@framer.com",framer.com,https://framer.com/careers,,cache strict-valid
Marshmallow,Europe,London / remote,hello@marshmallow.com,guessed pattern (verify before sending),hr@marshmallow.com,marshmallow.com,https://marshmallow.com/careers,,cache strict-valid
Onfido,Europe,London / remote,people@onfido.com,guessed pattern (verify before sending),hr@onfido.com,onfido.com,https://onfido.com/careers,,cache strict-valid
Preply,Europe,Kyiv / remote,careers@preply.com,guessed pattern (verify before sending),hr@preply.com,preply.com,https://preply.com/careers,,cache strict-valid
Qdrant,Europe,Berlin / remote,careers@qdrant.tech,guessed pattern (verify before sending),hr@qdrant.tech,qdrant.tech,https://qdrant.tech/careers,,cache strict-valid
Rapyd,Europe,London / remote,jobs@rapyd.net,guessed pattern (verify before sending),hr@rapyd.net,rapyd.net,https://rapyd.net/careers,,cache strict-valid
Braze,Remote,Worldwide remote,careers@braze.com,guessed pattern (verify before sending),hr@braze.com,braze.com,https://braze.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150bf8dfasi3514578f8f.58 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try"
BrowserStack,Remote,Worldwide remote,careers@browserstack.com,company website,hr@browserstack.com,browserstack.com,https://browserstack.com/careers,,"smtp.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d90620si3275180f8f.305 - gsmtp' | fake:smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1"
Bubble,Remote,Worldwide remote,careers@bubble.io,guessed pattern (verify before sending),hr@bubble.io,bubble.io,https://bubble.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d860ffsi3377538f8f.164 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
Budibase,Remote,Worldwide remote,careers@budibase.com,guessed pattern (verify before sending),hr@budibase.com,budibase.com,https://budibase.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d987e4si3334083f8f.387 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
Buffer,Remote,Worldwide remote,hiring@buffer.com,guessed pattern (verify before sending),hr@buffer.com,buffer.com,https://buffer.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d85261si3692224f8f.219 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
Bukalapak,Remote,Jakarta / remote,careers@bukalapak.com,guessed pattern (verify before sending),hr@bukalapak.com,bukalapak.com,https://bukalapak.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d87325si3327444f8f.183 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
CRED,Remote,India / remote,talent@cred.club,guessed pattern (verify before sending),hr@cred.club,cred.club,https://cred.club/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d92ec5si3278198f8f.318 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
Chargebee,Remote,Worldwide remote,careers@chargebee.com,company website,hr@chargebee.com,chargebee.com,https://chargebee.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d90667si3268476f8f.310 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
Chatwoot,Remote,Worldwide remote,careers@chatwoot.com,guessed pattern (verify before sending),hr@chatwoot.com,chatwoot.com,https://chatwoot.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d97602si3518077f8f.357 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
Clerk,Remote,Worldwide remote,hiring@clerk.com,company website,hr@clerk.com,clerk.com,https://clerk.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d86020si3334680f8f.197 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
CleverTap,Remote,Worldwide remote,careers@clevertap.com,guessed pattern (verify before sending),hr@clevertap.com,clevertap.com,https://clevertap.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d8f07esi3387283f8f.284 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
ClickUp,Remote,Worldwide remote,careers@clickup.com,guessed pattern (verify before sending),hr@clickup.com,clickup.com,https://clickup.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d86259si3105983f8f.160 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
Column,Remote,Worldwide remote,careers@column.com,guessed pattern (verify before sending),hr@column.com,column.com,https://column.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150da21b6si3460206f8f.459 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
Dream11,Remote,India / remote,talent@dream11.com,guessed pattern (verify before sending),hr@dream11.com,dream11.com,https://dream11.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-4997c9894a5si20205255e9.22 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try"
Dub.co,Remote,Worldwide remote,careers@dub.co,guessed pattern (verify before sending),hr@dub.co,dub.co,https://dub.co/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d96bbesi3419615f8f.336 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
FireHydrant,Remote,Worldwide remote,careers@firehydrant.com,guessed pattern (verify before sending),hr@firehydrant.com,firehydrant.com,https://firehydrant.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150bf93e0si3316801f8f.20 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try"
Fireworks AI,Remote,Worldwide remote,careers@fireworks.ai,guessed pattern (verify before sending),hr@fireworks.ai,fireworks.ai,https://fireworks.ai/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150bf8ec7si3516036f8f.62 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try"
Fly.io,Remote,Worldwide remote,jobs@fly.io,company website,hr@fly.io,fly.io,https://fly.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d8fe7asi3174242f8f.300 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please tr"
