Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Badi,Europe,Barcelona / remote,people@badi.com,guessed pattern (verify before sending),hr@badi.com,badi.com,https://badi.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-49981b58970si2998705e9.22 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does no"
Buzzoole,Europe,Naples / remote,hr@buzzoole.com,guessed pattern (verify before sending),hr@buzzoole.com,buzzoole.com,https://buzzoole.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d9d1d0si5800397f8f.400 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Casavo,Europe,Milan / remote,hr@casavo.com,company website,"u003eaide@casavo.com, dpo@casavo.com, gdpr@casavo.com, u003edpo@casavo.com, assistenza@casavo.com, aide@casavo.com",casavo.com,https://casavo.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d90620si5891046f8f.305 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Cortilia,Europe,Milan / remote,hr@cortilia.it,company website,,cortilia.it,https://cortilia.it/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d85151si5834922f8f.214 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Everli,Europe,Milan / remote,hr@everli.com,guessed pattern (verify before sending),hr@everli.com,everli.com,https://everli.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-49981b08518si2764235e9.4 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not"
Facile.it,Europe,Milan / remote,hr@facile.it,guessed pattern (verify before sending),hr@facile.it,facile.it,https://facile.it/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d8f7d1si6111681f8f.279 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Hubble.sg,Singapore,Singapore / remote,hr@hubble.sg,guessed pattern (verify before sending),hr@hubble.sg,hubble.sg,https://hubble.sg/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d8f07esi5759216f8f.284 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Ironhack,Europe,Madrid / Barcelona / remote,recruiting@ironhack.com,guessed pattern (verify before sending),hr@ironhack.com,ironhack.com,https://ironhack.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d97b09si5653869f8f.367 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Musixmatch,Europe,Bologna / remote,jobs@musixmatch.com,guessed pattern (verify before sending),hr@musixmatch.com,musixmatch.com,https://musixmatch.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150da1655si5973816f8f.419 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Oddle,Singapore,Singapore / remote,hiring@oddle.me,guessed pattern (verify before sending),hr@oddle.me,oddle.me,https://oddle.me/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150bf5709si6242504f8f.101 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
PolicyStreet,Malaysia,Kuala Lumpur / remote,hr@policystreet.com,guessed pattern (verify before sending),hr@policystreet.com,policystreet.com,https://policystreet.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d9ef79si6245738f8f.407 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Prima Assicurazioni,Europe,Milan / remote,jobs@prima.it,guessed pattern (verify before sending),hr@prima.it,prima.it,https://prima.it/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150bf8da9si5718532f8f.67 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does n"
Satispay,Europe,Milan / remote,hr@satispay.com,guessed pattern (verify before sending),hr@satispay.com,satispay.com,https://satispay.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d98735si5784051f8f.379 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Tech in Asia,Singapore,Singapore / remote,hr@techinasia.com,guessed pattern (verify before sending),hr@techinasia.com,techinasia.com,https://techinasia.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d904f5si5801379f8f.301 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
