Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Daraz,Karachi,Karachi,hr@daraz.pk,guessed pattern (verify before sending),hr@daraz.pk,daraz.pk,https://daraz.pk/careers,,"mx1.alibaba-inc.com rcpt 250 b'Rcpt Ok' | fake:mx1.alibaba-inc.com rcpt 554 b""RCPT (no-mailbox-h5kxzqix76zo@daraz.pk) dosn't exist"""
Glints,Singapore,Singapore / remote,careers@glints.com,guessed pattern (verify before sending),hr@glints.com,glints.com,https://glints.com/careers,,"mx1.larksuite.com rcpt 250 b'2.1.5 Ok' | fake:mx1.larksuite.com rcpt 550 b'verify address failed, User not found no-mailbox-qzjugxx88qbq@glints.com'"
Mudah,Malaysia,Kuala Lumpur,recruitment@mudah.my,guessed pattern (verify before sending),hr@mudah.my,mudah.my,https://mudah.my/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815a5cdb31si2350719f8f.324 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For m"
Property Finder,MENA,Dubai,recruitment@propertyfinder.ae,guessed pattern (verify before sending),hr@propertyfinder.ae,propertyfinder.ae,https://propertyfinder.ae/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815a55fc64si2479291f8f.37 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For mo"
Wahed,UAE,Dubai / remote,recruitment@wahed.com,guessed pattern (verify before sending),hr@wahed.com,wahed.com,https://wahed.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815a560184si2313580f8f.26 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For mo"
Framer,Europe,Amsterdam / remote,hello@framer.com,company website,"abuse@framer.com, hr@framer.com",framer.com,https://framer.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a5a8a56si2878107f8f.86 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For mo"
Gorgias,Europe,Paris / remote,recruitment@gorgias.com,guessed pattern (verify before sending),hr@gorgias.com,gorgias.com,https://gorgias.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815a5dcfefsi2182995f8f.463 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For m"
Hotjar,Europe,Malta / remote,recruitment@hotjar.com,guessed pattern (verify before sending),hr@hotjar.com,hotjar.com,https://hotjar.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815a55f97bsi2412032f8f.97 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For mo"
Marshmallow,Europe,London / remote,hello@marshmallow.com,guessed pattern (verify before sending),hr@marshmallow.com,marshmallow.com,https://marshmallow.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a750bf7si2898332f8f.290 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For m"
N26,Europe,Berlin / remote,recruitment@n26.com,company website,"hr@n26.com, imprint@n26.com, officials@n26.com, nimprint@n26.com, sam.walker@n26.com, jobs@n26.com, talent@n26.com, recruiting@n26.com",n26.com,https://n26.com/en-eu/careers/positions/8020406?gh_jid=8020406,Principal AI Engineer - Conversational Banking,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815a5dd5d1si2165547f8f.475 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For m"
PayFit,Europe,Paris / remote,recruitment@payfit.com,guessed pattern (verify before sending),hr@payfit.com,payfit.com,https://payfit.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815a5d9d8asi2237851f8f.413 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For m"
Revolut,Europe,London / remote,recruitment@revolut.com,guessed pattern (verify before sending),hr@revolut.com,revolut.com,https://revolut.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815a5da1f4si2241411f8f.418 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For m"
Apollo.io,Remote,Worldwide remote,recruitment@apollo.io,company website,hr@apollo.io,apollo.io,https://apollo.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-49981b20ccbsi30751215e9.10 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For mo"
Metabase,Remote,Worldwide remote,join@metabase.com,guessed pattern (verify before sending),hr@metabase.com,metabase.com,https://metabase.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815a5b629csi2264123f8f.182 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For m"
