Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Macquarie,Australia,Sydney,careers@macquarie.com,guessed pattern (verify before sending),,macquarie.com,https://macquarie.com/careers,,mxa-005e7502.gslb.pphosted.com rcpt 250 b'2.1.5 Recipient ok' | fake:mail-from 550 b'5.7.1 Command rejected'
Flutterwave,MENA,Lagos,hr@flutterwave.com,guessed pattern (verify before sending),,flutterwave.com,https://flutterwave.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f321123si15754258f8f.336 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-499960b2"
Amuse,Europe,Stockholm,hr@amuse.io,guessed pattern (verify before sending),,amuse.io,https://amuse.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f33e119si15849938f8f.441 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
Balsamiq,Europe,Bologna,jobs@balsamiq.com,guessed pattern (verify before sending),,balsamiq.com,https://balsamiq.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f24dd28si15716952f8f.125 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f351"
Boundless,Europe,London,hr@boundlesshq.com,guessed pattern (verify before sending),,boundlesshq.com,https://boundlesshq.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f300311si14767438f8f.170 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-499960c8"
Bud,Europe,London,people@thisisbud.com,guessed pattern (verify before sending),,thisisbud.com,https://thisisbud.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2fe8dbsi15716497f8f.156 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
Chip,Europe,London,careers@getchip.uk,guessed pattern (verify before sending),,getchip.uk,https://getchip.uk/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-499960c6d9fsi32403535e9.11 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f31ecb"
Craft,Europe,London,talent@craft.do,guessed pattern (verify before sending),,craft.do,https://craft.do/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-499877f35b8si17531435e9.1 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f24de59"
Lano,Europe,Berlin,people@lano.io,guessed pattern (verify before sending),,lano.io,https://lano.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f33b147si15129283f8f.412 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f34b"
Moneyhub,Europe,Bristol,careers@moneyhub.com,guessed pattern (verify before sending),,moneyhub.com,https://moneyhub.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f33e575si14902482f8f.430 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f30e"
Pinpoint,Europe,London,careers@pinpointhq.com,guessed pattern (verify before sending),,pinpointhq.com,https://pinpointhq.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f34c400si15763581f8f.473 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f2fe"
Salary,Europe,London,hr@salaryfinance.com,guessed pattern (verify before sending),,salaryfinance.com,https://salaryfinance.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f236db9si14396886f8f.15 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236d"
Sketch,Europe,Hague,people@sketch.com,guessed pattern (verify before sending),,sketch.com,https://sketch.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2368b7si14915224f8f.17 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f30f8"
Specify,Europe,Paris,people@specifyapp.com,guessed pattern (verify before sending),,specifyapp.com,https://specifyapp.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2368ecsi15179040f8f.69 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f3002"
TestGorilla,Europe,Amsterdam,people@testgorilla.com,guessed pattern (verify before sending),,testgorilla.com,https://testgorilla.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f3396cbsi14269196f8f.404 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f30e"
Wagestream,Europe,London,hr@wagestream.com,guessed pattern (verify before sending),,wagestream.com,https://wagestream.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31175dsi15580688f8f.284 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-499960b2"
Zeroheight,Europe,London,careers@zeroheight.com,guessed pattern (verify before sending),,zeroheight.com,https://zeroheight.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31dc4bsi15829634f8f.319 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f333"
Axure,Remote,Worldwide,hr@axure.com,guessed pattern (verify before sending),,axure.com,https://axure.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f30eebdsi16463376f8f.251 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f24d"
Bloomfire,Remote,Worldwide,hr@bloomfire.com,guessed pattern (verify before sending),,bloomfire.com,https://bloomfire.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2fe8e6si19861796f8f.151 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f300"
