Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
HubSpot,Remote,Worldwide remote,recruiting@hubspot.com,guessed pattern (verify before sending),,hubspot.com,https://hubspot.com/careers,,"smtp.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31c364si10364098f8f.314 - gsmtp' | fake:smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f33ce08si9"
Pulumi,Remote,Worldwide remote,recruiting@pulumi.com,guessed pattern (verify before sending),,pulumi.com,https://pulumi.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31cb47si10006969f8f.318 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f33d"
Buf,Remote,Worldwide,recruiting@buf.build,guessed pattern (verify before sending),,buf.build,https://buf.build/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48278690fe7si5313348f8f.457 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f352f"
Glean,Remote,Worldwide,talent@glean.com,guessed pattern (verify before sending),,glean.com,https://glean.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2fec2csi10364576f8f.160 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f300"
Iterable,Remote,Worldwide,recruiting@iterable.com,guessed pattern (verify before sending),,iterable.com,https://iterable.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2fea22si10933007f8f.158 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-49988aec"
JumpCloud,Remote,Worldwide,recruiting@jumpcloud.com,guessed pattern (verify before sending),,jumpcloud.com,https://jumpcloud.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f24dc46si11006929f8f.112 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f236"
mParticle,Remote,Worldwide,recruiting@mparticle.com,guessed pattern (verify before sending),,mparticle.com,https://mparticle.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31c2c3si10427439f8f.312 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f238"
Stytch,Remote,Worldwide,recruiting@stytch.com,guessed pattern (verify before sending),,stytch.com,https://stytch.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48162167ab7si7899569f8f.469 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-4998b5b54"
Temporal,Remote,Worldwide,recruiting@temporal.io,guessed pattern (verify before sending),,temporal.io,https://temporal.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f30f4d0si10234393f8f.272 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f31d"
Tray.io,Remote,Worldwide,talent@tray.io,guessed pattern (verify before sending),,tray.io,https://tray.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f30f8a3si9890623f8f.282 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser ffacd0b85a97d-4815f2368"
Yugabyte,Remote,Worldwide,hr@yugabyte.com,guessed pattern (verify before sending),,yugabyte.com,https://yugabyte.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f30f10fsi9006279f8f.258 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For more information, go to\n5.1.1  https://support.google.com/mail/?p=NoSuchUser 5b1f17b1804b1-499899c84"
