Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Neon,Remote,Worldwide remote,hr@neon.tech,guessed pattern (verify before sending),hr@neon.tech,neon.tech,https://neon.tech/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150bfa44asi4839782f8f.18 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does n"
Plaid,Remote,Worldwide remote,recruiting@plaid.com,guessed pattern (verify before sending),hr@plaid.com,plaid.com,https://plaid.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150bf9339si5026813f8f.51 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does n"
Postmark,Remote,Worldwide remote,hiring@postmarkapp.com,guessed pattern (verify before sending),hr@postmarkapp.com,postmarkapp.com,https://postmarkapp.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d860d6si4647051f8f.169 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Retool,Remote,Worldwide remote,recruiting@retool.com,guessed pattern (verify before sending),hr@retool.com,retool.com,https://retool.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150c0ab53si4938895f8f.116 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Rootly,Remote,Worldwide remote,jobs@rootly.com,guessed pattern (verify before sending),hr@rootly.com,rootly.com,https://rootly.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150da9101si4857538f8f.493 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
ShareChat,Remote,India / remote,hr@sharechat.com,guessed pattern (verify before sending),hr@sharechat.com,sharechat.com,https://sharechat.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d97a5fsi4964308f8f.370 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Shortcut,Remote,Worldwide remote,hr@shortcut.com,guessed pattern (verify before sending),hr@shortcut.com,shortcut.com,https://shortcut.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d98756si6314796f8f.373 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Split.io,Remote,Worldwide remote,hr@split.io,guessed pattern (verify before sending),hr@split.io,split.io,https://split.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d875d7si4628004f8f.141 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Stockbit,Remote,Jakarta / remote,hr@stockbit.com,guessed pattern (verify before sending),hr@stockbit.com,stockbit.com,https://stockbit.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d989edsi4495263f8f.391 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Tinybird,Remote,Worldwide remote,people@tinybird.co,guessed pattern (verify before sending),hr@tinybird.co,tinybird.co,https://tinybird.co/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d854d0si4845439f8f.173 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Tiptap,Remote,Worldwide remote,hr@tiptap.dev,guessed pattern (verify before sending),hr@tiptap.dev,tiptap.dev,https://tiptap.dev/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150da2229si4831935f8f.463 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
tldraw,Remote,Worldwide remote,hr@tldraw.com,guessed pattern (verify before sending),hr@tldraw.com,tldraw.com,https://tldraw.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150c0ab53si4942330f8f.116 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Whimsical,Remote,Worldwide remote,people@whimsical.com,guessed pattern (verify before sending),hr@whimsical.com,whimsical.com,https://whimsical.com/careers,,"smtp.google.com rcpt 250 b'2.1.5 OK 5b1f17b1804b1-4997c97ee99si46847075e9.20 - gsmtp' | fake:smtp.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exi"
Zerodha,Remote,India / remote,hr@zerodha.com,guessed pattern (verify before sending),hr@zerodha.com,zerodha.com,https://zerodha.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d8fed2si4362978f8f.299 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
