Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Arpatech,Karachi,Karachi,careers@arpatech.com,company website,"hr@arpatech.com, info@arpatech.com",arpatech.com,https://arpatech.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a746fa0si2447538f8f.220 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-chec"
Rolustech,Pakistan,Lahore,careers@rolustech.com,guessed pattern (verify before sending),hr@rolustech.com,rolustech.com,https://rolustech.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a5a997fsi2190800f8f.26 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-check"
stc pay,KSA,Riyadh,careers@stcpay.com.sa,guessed pattern (verify before sending),hr@stcpay.com.sa,stcpay.com.sa,https://stcpay.com.sa/careers,,mgdr01.stcpay.com.sa rcpt 250 b'2.1.5 Recipient ok' | fake:mgdr01.stcpay.com.sa rcpt 550 b'5.1.1 User Unknown'
The Chefz,KSA,Riyadh,careers@thechefz.co,guessed pattern (verify before sending),hr@thechefz.co,thechefz.co,https://thechefz.co/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a751973si2391297f8f.324 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-chec"
Tap Payments,Kuwait,Kuwait / remote,careers@tap.company,guessed pattern (verify before sending),hr@tap.company,tap.company,https://tap.company/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a5a9cd3si2325422f8f.88 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-check"
Sarwa,MENA,Dubai,careers@sarwa.co,guessed pattern (verify before sending),hr@sarwa.co,sarwa.co,https://sarwa.co/careers,,cache strict-valid
Trella,Egypt,Cairo / remote,careers@trella.app,guessed pattern (verify before sending),hr@trella.app,trella.app,https://trella.app/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a5a9cdesi2252357f8f.90 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-check"
Coda Payments,Singapore,Singapore,careers@codapayments.com,guessed pattern (verify before sending),hr@codapayments.com,codapayments.com,https://codapayments.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a764655si2233487f8f.484 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-chec"
Endowus,Singapore,Singapore,careers@endowus.com,guessed pattern (verify before sending),hr@endowus.com,endowus.com,https://endowus.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a5a8a9fsi2416670f8f.92 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-check"
Grab,Singapore,Singapore / remote,careers@grab.com,guessed pattern (verify before sending),hr@grab.com,grab.com,https://grab.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a746fafsi2408806f8f.173 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-chec"
Fave,Malaysia,Kuala Lumpur / remote,careers@myfave.com,guessed pattern (verify before sending),hr@myfave.com,myfave.com,https://myfave.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a5a9a38si2294190f8f.11 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-check"
Teleport,Malaysia,Kuala Lumpur / remote,careers@teleport.asia,guessed pattern (verify before sending),hr@teleport.asia,teleport.asia,https://teleport.asia/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4814a74ffdasi2171716f8f.247 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-chec"
